50 74
35.000000 35.000000
38.000000 8.000000
13.000000 43.000000
1.000000 21.000000
24.000000 32.000000
15.000000 21.000000
27.000000 43.000000
20.000000 39.000000
49.000000 9.000000
25.000000 48.000000
40.000000 43.000000
18.000000 25.000000
12.000000 36.000000
38.000000 35.000000
2.000000 24.000000
22.000000 42.000000
37.000000 37.000000
9.000000 14.000000
20.000000 24.000000
37.000000 47.000000
19.000000 7.000000
36.000000 10.000000
15.000000 37.000000
36.000000 4.000000
42.000000 29.000000
35.000000 46.000000
5.000000 10.000000
40.000000 39.000000
48.000000 28.000000
29.000000 7.000000
44.000000 49.000000
33.000000 31.000000
46.000000 2.000000
14.000000 6.000000
22.000000 35.000000
49.000000 37.000000
6.000000 23.000000
44.000000 22.000000
45.000000 27.000000
4.000000 41.000000
31.000000 45.000000
28.000000 48.000000
1.000000 1.000000
33.000000 2.000000
11.000000 34.000000
39.000000 28.000000
24.000000 29.000000
38.000000 42.000000
4.000000 46.000000
18.000000 41.000000
1 17 2.828427
1 32 4.472136
2 22 2.828427
2 24 4.472136
3 50 5.385165
3 16 9.055385
4 15 3.162278
4 37 5.385165
5 47 3.000000
5 32 9.944272
6 12 5.000000
6 19 5.830952
7 41 4.472136
7 42 5.099020
8 50 2.828427
8 35 4.472136
9 33 7.615773
9 22 13.038405
10 42 3.000000
10 16 6.708204
11 48 2.236068
11 26 5.830952
12 19 2.236068
12 47 7.211103
13 45 2.236068
13 50 7.810250
14 17 2.236068
14 28 4.472136
15 37 4.123106
16 8 3.605551
16 50 4.123106
17 28 3.605551
18 27 5.656854
18 6 9.433981
19 47 6.403124
20 26 2.236068
20 11 5.099020
21 34 5.099020
21 27 14.317821
22 24 6.000000
23 13 3.162278
23 45 5.000000
24 44 3.605551
25 46 3.162278
25 38 7.280110
26 41 4.123106
27 34 9.848858
28 48 3.605551
29 39 3.162278
29 38 7.211103
30 44 6.403124
30 24 7.615773
31 11 7.211103
31 20 7.280110
32 14 6.403124
33 24 10.198039
35 5 3.605551
36 29 9.055385
36 39 10.770330
37 6 9.219544
38 39 5.099020
38 46 7.810250
40 49 5.000000
40 13 9.433981
41 42 4.242641
43 27 9.848858
43 34 13.928388
46 39 6.082763
47 35 6.324555
49 13 12.80624
14 25 6.3245
32 46 5.6210
21 30 7.654
30 22 5.3210

