50 75
32.000000 23.000000
4.000000 22.000000
48.000000 8.000000
12.000000 4.000000
38.000000 26.000000
1.000000 34.000000
29.000000 37.000000
48.000000 14.000000
19.000000 2.000000
9.000000 13.000000
39.000000 24.000000
48.000000 40.000000
5.000000 36.000000
28.000000 44.000000
17.000000 34.000000
40.000000 1.000000
7.000000 46.000000
25.000000 6.000000
12.000000 44.000000
16.000000 14.000000
31.000000 47.000000
3.000000 29.000000
14.000000 22.000000
48.000000 36.000000
17.000000 5.000000
24.000000 47.000000
0.000000 44.000000
31.000000 42.000000
47.000000 45.000000
10.000000 11.000000
42.000000 28.000000
25.000000 23.000000
26.000000 30.000000
4.000000 40.000000
14.000000 13.000000
31.000000 33.000000
19.000000 6.000000
30.000000 19.000000
2.000000 12.000000
11.000000 49.000000
3.000000 0.000000
22.000000 2.000000
46.000000 35.000000
13.000000 40.000000
21.000000 17.000000
33.000000 26.000000
19.000000 23.000000
12.000000 1.000000
6.000000 31.000000
9.000000 37.000000
1 46 3.162278
1 32 7.000000
2 22 7.071068
2 49 9.219544
3 8 6.000000
3 16 10.630146
4 48 3.000000
4 30 7.280110
5 11 2.236068
5 31 4.472136
6 13 4.472136
6 22 5.385165
7 36 4.472136
7 33 7.615773
8 11 13.453624
9 42 3.000000
9 37 4.000000
10 30 2.236068
10 35 5.000000
11 31 5.000000
12 24 4.000000
12 29 5.099020
13 34 4.123106
13 50 4.123106
14 28 3.605551
14 26 5.000000
15 44 7.211103
15 50 8.544004
16 8 15.264338
17 40 5.000000
17 34 6.708204
18 42 5.000000
18 25 8.062258
19 44 4.123106
19 50 7.615773
20 35 2.236068
20 45 5.830952
21 14 4.242641
21 28 5.000000
22 49 3.605551
22 13 7.280110
23 47 5.099020
23 45 8.602325
24 43 2.236068
28 29 9.055385
25 37 2.236068
25 42 5.830952
26 21 7.000000
27 34 5.656854
19 26 11.401754
30 35 4.472136
32 47 6.000000
32 33 7.071068
33 36 5.830952
33 46 8.062258
37 42 5.000000
38 1 4.472136
38 32 6.403124
39 10 7.071068
39 30 8.062258
40 19 5.099020
41 48 9.055385
41 39 12.041595
43 31 8.062258
44 50 5.000000
45 47 6.324555
46 5 5.000000
48 25 6.403124
49 50 6.708204
2 23 26.320
7 28 13.262
18 16 32.0101
15 7 15.3001
36 43 10.1010
45 18 19.3211

