50 80
2.000000 11.000000
1.000000 14.000000
10.000000 6.000000
16.000000 35.000000
8.000000 14.000000
22.000000 21.000000
4.000000 35.000000
14.000000 19.000000
29.000000 36.000000
36.000000 12.000000
12.000000 45.000000
11.000000 34.000000
18.000000 24.000000
37.000000 24.000000
5.000000 46.000000
13.000000 8.000000
20.000000 42.000000
8.000000 30.000000
16.000000 16.000000
33.000000 47.000000
4.000000 21.000000
9.000000 19.000000
16.000000 21.000000
45.000000 42.000000
11.000000 2.000000
40.000000 24.000000
41.000000 38.000000
22.000000 13.000000
31.000000 31.000000
44.000000 40.000000
11.000000 48.000000
5.000000 29.000000
16.000000 38.000000
26.000000 21.000000
10.000000 36.000000
42.000000 28.000000
9.000000 47.000000
41.000000 26.000000
2.000000 23.000000
32.000000 43.000000
9.000000 44.000000
39.000000 3.000000
36.000000 1.000000
3.000000 42.000000
32.000000 19.000000
30.000000 11.000000
42.000000 42.000000
49.000000 36.000000
21.000000 8.000000
33.000000 36.000000
1 2 3.162278
1 5 6.708204
2 5 7.000000
3 16 3.605551
3 25 4.123106
4 33 3.000000
4 35 6.082763
5 22 5.099020
6 34 4.000000
6 23 6.000000
7 32 6.082763
7 35 6.082763
8 23 2.828427
8 22 5.000000
9 50 4.000000
9 40 7.615773
10 46 6.082763
10 43 11.000000
11 31 3.162278
11 41 3.162278
12 35 2.236068
12 4 5.403124
13 23 3.605551
13 6 4.403124
14 26 3.000000
14 38 4.472136
15 37 4.123106
15 41 4.472136
16 25 6.324555
17 33 5.656854
17 11 8.544004
18 32 3.162278
18 35 6.324555
19 8 3.605551
19 23 5.000000
20 40 4.123106
20 47 10.295630
21 39 2.828427
21 5 8.062258
22 21 5.385165
24 30 2.236068
24 47 3.000000
26 38 2.236068
26 45 14.472136
27 30 3.605551
27 47 4.123106
28 49 5.099020
28 46 8.246211
29 9 5.385165
29 50 5.385165
30 47 2.828427
31 37 2.236068
31 41 4.472136
32 39 6.708204
34 45 6.324555
36 38 2.236068
36 27 10.049876
37 41 3.000000
40 50 7.071068
42 43 3.605551
42 10 10.041595
43 46 11.661904
44 15 4.472136
44 41 6.324555
45 46 8.246211
48 30 6.403124
48 27 8.246211
49 19 9.433981
3 1 8.99632
16 49 7.2310
7 44 5.6320
17 40 12.3620
29 36 9.6320
45 14 12.0321
29 14 15.3200
4 9 16.2101
13 29 23.2100
13 18 20.3210
35 33 6.8900
28 6 9.63200
