50 78
14.000000 24.000000
7.000000 14.000000
49.000000 41.000000
10.000000 13.000000
0.000000 21.000000
9.000000 39.000000
26.000000 46.000000
42.000000 29.000000
38.000000 27.000000
38.000000 45.000000
13.000000 37.000000
31.000000 36.000000
47.000000 15.000000
22.000000 11.000000
41.000000 36.000000
37.000000 1.000000
2.000000 37.000000
44.000000 14.000000
2.000000 44.000000
35.000000 11.000000
7.000000 28.000000
42.000000 47.000000
5.000000 43.000000
18.000000 43.000000
38.000000 33.000000
32.000000 21.000000
19.000000 29.000000
36.000000 43.000000
40.000000 30.000000
31.000000 30.000000
31.000000 33.000000
19.000000 25.000000
22.000000 35.000000
34.000000 8.000000
41.000000 42.000000
36.000000 9.000000
44.000000 20.000000
49.000000 36.000000
8.000000 42.000000
22.000000 49.000000
27.000000 43.000000
27.000000 27.000000
14.000000 1.000000
44.000000 45.000000
7.000000 36.000000
47.000000 29.000000
24.000000 42.000000
49.000000 22.000000
7.000000 0.000000
10.000000 18.000000
1 32 5.099020
1 50 7.211103
2 4 3.162278
2 50 5.000000
3 38 5.000000
3 44 6.403124
4 50 5.000000
5 2 9.899495
5 21 9.899495
6 39 3.162278
6 45 3.605551
7 41 3.162278
7 47 4.472136
8 29 2.236068
8 46 5.000000
9 29 3.605551
9 25 6.000000
10 28 2.828427
10 35 4.242641
11 6 4.472136
11 45 6.082763
12 31 3.000000
12 41 8.062258
13 18 3.162278
13 37 5.830952
14 4 12.165525
14 34 12.369317
15 25 4.242641
15 35 6.000000
16 34 7.615773
16 36 8.062258
17 45 5.099020
17 39 7.810250
18 37 6.000000
19 23 3.162278
19 17 7.324555
20 36 2.236068
20 26 10.440307
21 45 8.000000
22 44 2.828427
22 35 5.099020
23 39 3.162278
24 47 6.082763
24 33 8.944272
25 29 3.605551
26 42 7.810250
26 30 9.055385
27 32 4.000000
27 33 6.708204
28 35 5.099020
30 31 3.000000
30 42 5.000000
32 42 8.246211
33 47 7.280110
34 36 2.236068
20 18 10.661904
35 44 4.242641
37 48 5.385165
38 46 7.280110
40 7 5.000000
40 24 7.211103
41 47 3.162278
42 31 7.211103
43 49 7.071068
43 14 12.806248
46 29 7.071068
48 46 7.280110
49 4 16.248288
5 17 18.32201
14 26 15.3201
9 37 10.3210
31 25 7.6320
9 30 8.63220
10 22 4.3201
28 41 9.01210
11 24 8.88520
39 24 10.3201
33 42 12.3201

