50 82
42.000000 29.000000
9.000000 16.000000
30.000000 36.000000
9.000000 7.000000
15.000000 25.000000
10.000000 30.000000
26.000000 19.000000
45.000000 20.000000
17.000000 4.000000
0.000000 6.000000
35.000000 24.000000
48.000000 36.000000
48.000000 7.000000
37.000000 10.000000
27.000000 29.000000
39.000000 37.000000
25.000000 7.000000
29.000000 41.000000
33.000000 40.000000
23.000000 9.000000
31.000000 28.000000
23.000000 40.000000
48.000000 22.000000
1.000000 48.000000
11.000000 1.000000
5.000000 48.000000
11.000000 33.000000
29.000000 1.000000
22.000000 27.000000
21.000000 49.000000
35.000000 2.000000
42.000000 18.000000
42.000000 15.000000
29.000000 4.000000
34.000000 12.000000
32.000000 9.000000
2.000000 19.000000
36.000000 0.000000
44.000000 37.000000
38.000000 6.000000
41.000000 34.000000
2.000000 15.000000
12.000000 23.000000
14.000000 47.000000
28.000000 7.000000
17.000000 22.000000
10.000000 13.000000
19.000000 15.000000
32.000000 5.000000
17.000000 28.000000
1 41 5.099020
1 12 9.219544
2 47 3.162278
2 43 7.615773
3 19 5.000000
3 21 8.062258
4 47 6.082763
4 10 9.055385
5 43 3.605551
5 46 3.605551
6 27 3.162278
6 43 7.280110
7 48 8.062258
7 46 9.486833
8 23 3.605551
8 32 3.605551
9 25 6.708204
9 17 8.544004
10 42 9.219544
11 21 5.656854
11 32 9.219544
12 39 4.123106
12 41 7.280110
13 33 10.000000
13 40 10.049876
14 35 3.605551
14 40 4.123106
15 21 4.123106
15 29 5.385165
16 41 3.605551
16 3 9.055385
17 20 2.828427
17 45 3.000000
18 19 4.123106
18 22 6.082763
19 16 6.708204
20 45 5.385165
21 29 9.055385
22 30 9.219544
23 33 8.211103
24 26 4.000000
24 27 23.038405
25 4 6.324555
26 44 9.055385
27 50 7.810250
28 34 3.000000
28 49 5.000000
29 50 5.099020
29 46 7.071068
30 44 7.280110
30 19 15.000000
31 38 2.236068
31 49 4.242641
32 33 3.000000
33 14 7.071068
34 45 3.162278
35 36 3.605551
36 49 4.000000
37 42 4.000000
37 47 10.000000
38 40 6.324555
39 41 4.242641
40 31 5.000000
42 47 8.246211
43 46 5.099020
48 20 7.211103
48 46 7.280110
49 34 3.162278
50 5 3.605551
7 11 10.00101
45 35 5.96210
1 23 8.56320
16 39 4.956320
3 18 5.03101
3 22 7.621017
43 37 8.56210
3 15 6.95310
1 11 5.62301
7 35 8.62310
17 34 5.6210
28 38 7.62101
47 48 8.31014

