50 82
42.000000 18.000000
33.000000 32.000000
24.000000 38.000000
34.000000 17.000000
25.000000 36.000000
32.000000 37.000000
12.000000 46.000000
36.000000 40.000000
5.000000 5.000000
12.000000 28.000000
3.000000 43.000000
38.000000 13.000000
6.000000 10.000000
28.000000 38.000000
15.000000 46.000000
19.000000 10.000000
14.000000 4.000000
44.000000 40.000000
45.000000 28.000000
7.000000 20.000000
15.000000 39.000000
9.000000 27.000000
37.000000 45.000000
19.000000 43.000000
0.000000 33.000000
23.000000 5.000000
26.000000 11.000000
18.000000 32.000000
23.000000 47.000000
45.000000 42.000000
1.000000 9.000000
46.000000 45.000000
1.000000 41.000000
26.000000 8.000000
11.000000 41.000000
49.000000 20.000000
20.000000 36.000000
29.000000 19.000000
22.000000 2.000000
24.000000 1.000000
33.000000 39.000000
44.000000 6.000000
30.000000 39.000000
48.000000 33.000000
0.000000 47.000000
29.000000 1.000000
38.000000 7.000000
11.000000 2.000000
48.000000 10.000000
24.000000 20.000000
1 12 6.403124
1 36 7.280110
2 6 5.099020
2 41 7.000000
3 5 2.236068
3 14 4.000000
4 38 5.385165
4 27 10.000000
5 14 3.605551
6 41 2.236068
6 43 2.828427
7 15 3.000000
7 35 5.099020
8 41 3.162278
8 23 5.099020
9 13 5.099020
9 31 5.656854
10 22 3.162278
10 28 7.211103
11 33 2.828427
11 45 5.000000
12 4 5.656854
12 47 6.000000
13 31 5.099020
14 43 2.236068
14 6 4.123106
15 24 5.000000
16 26 6.403124
16 27 7.071068
17 48 3.605551
17 39 8.246211
18 30 2.236068
18 8 6.385165
19 44 5.830952
19 18 12.041595
20 22 7.280110
20 13 10.049876
21 35 4.472136
21 37 5.830952
23 41 7.211103
24 21 5.656854
25 33 8.062258
25 22 10.816654
26 39 3.162278
26 40 4.123106
27 34 3.000000
27 38 8.544004
28 37 4.472136
28 21 7.615773
29 24 5.656854
29 14 10.295630
30 32 3.162278
9 48 6.206556
32 23 9.000000
33 45 6.082763
34 26 4.211103
35 15 6.403124
36 19 8.944272
37 3 4.472136
38 50 5.099020
39 40 2.236068
39 16 9.071068
40 46 5.000000
41 43 3.000000
42 49 5.656854
42 12 11.866069
44 30 9.486833
46 34 7.615773
47 42 6.082763
48 13 9.433981
49 36 10.049876
50 16 11.180340
7 11 7.23100
11 35 7.00012
29 23 10.3211
2 19 9.20120
28 50 8.6521
2 50 9.56210
1 4 3.01015
34 47 6.31021
13 16 5.32014
16 17 5.231201
