50 83
48.000000 44.000000
9.000000 28.000000
13.000000 33.000000
32.000000 40.000000
34.000000 0.000000
35.000000 20.000000
42.000000 29.000000
26.000000 24.000000
20.000000 27.000000
8.000000 20.000000
24.000000 39.000000
23.000000 14.000000
46.000000 34.000000
18.000000 44.000000
46.000000 43.000000
37.000000 27.000000
24.000000 2.000000
10.000000 9.000000
42.000000 47.000000
19.000000 3.000000
8.000000 45.000000
28.000000 28.000000
24.000000 36.000000
0.000000 0.000000
17.000000 23.000000
7.000000 35.000000
28.000000 35.000000
0.000000 15.000000
12.000000 24.000000
33.000000 12.000000
23.000000 45.000000
42.000000 42.000000
48.000000 0.000000
40.000000 28.000000
31.000000 16.000000
14.000000 31.000000
17.000000 41.000000
5.000000 34.000000
16.000000 14.000000
21.000000 35.000000
20.000000 0.000000
20.000000 20.000000
17.000000 34.000000
46.000000 37.000000
2.000000 34.000000
27.000000 44.000000
46.000000 19.000000
4.000000 27.000000
9.000000 4.000000
14.000000 16.000000
1 15 2.236068
1 19 6.324555
2 29 5.000000
2 48 5.099020
3 36 2.236068
3 43 4.123106
4 27 6.403124
4 46 6.403124
5 17 10.198039
5 30 12.041595
6 35 5.656854
6 30 8.246211
7 34 2.236068
7 44 8.944272
8 22 4.472136
8 42 7.211103
9 25 5.000000
9 42 7.000000
10 29 5.656854
10 50 7.211103
11 23 3.000000
11 40 5.000000
12 42 6.708204
12 39 7.219544
13 44 3.000000
13 7 7.485281
14 37 3.162278
14 31 5.000000
15 32 4.123106
16 34 3.162278
16 22 9.055385
17 41 4.472136
17 12 12.041595
18 49 5.099020
18 50 8.062258
19 32 5.000000
32 44 6.770330
20 41 3.162278
20 49 10.049876
21 37 9.848858
21 26 10.049876
22 27 7.000000
23 40 3.162278
24 49 9.848858
24 28 15.000000
25 42 4.242641
25 29 5.099020
26 38 2.236068
26 45 5.099020
27 23 4.123106
28 10 9.433981
28 18 11.661904
30 35 4.472136
30 12 10.198039
31 46 4.123106
31 37 7.211103
33 5 14.000000
33 47 19.104973
35 12 8.246211
36 43 4.242641
37 43 7.000000
38 45 3.000000
39 50 2.828427
39 42 7.211103
40 43 4.123106
41 49 11.704700
44 15 6.000000
45 48 7.280110
46 23 8.544004
47 7 10.770330
47 34 10.816654
48 38 7.071068
50 42 7.211103
3 26 4.565660
9 36 5.021010
6 16 4.30210
4 32 6.320193
9 40 5.62101
11 31 4.02310
8 12 8.21014
20 17 3.2101
28 49 10.3201
18 39 5.69210
