50 77
40.000000 30.000000
32.000000 12.000000
18.000000 2.000000
14.000000 40.000000
24.000000 31.000000
25.000000 21.000000
21.000000 34.000000
3.000000 23.000000
18.000000 30.000000
19.000000 47.000000
5.000000 15.000000
16.000000 11.000000
43.000000 4.000000
34.000000 4.000000
8.000000 48.000000
22.000000 49.000000
30.000000 4.000000
11.000000 0.000000
9.000000 25.000000
41.000000 33.000000
8.000000 16.000000
4.000000 31.000000
2.000000 7.000000
39.000000 23.000000
20.000000 45.000000
39.000000 38.000000
8.000000 34.000000
42.000000 42.000000
40.000000 1.000000
42.000000 12.000000
2.000000 25.000000
18.000000 13.000000
25.000000 27.000000
40.000000 16.000000
32.000000 19.000000
32.000000 34.000000
27.000000 38.000000
14.000000 29.000000
13.000000 5.000000
19.000000 22.000000
39.000000 12.000000
16.000000 31.000000
15.000000 9.000000
43.000000 19.000000
34.000000 13.000000
41.000000 24.000000
26.000000 10.000000
23.000000 8.000000
47.000000 2.000000
49.000000 6.000000
1 20 3.162278
1 46 6.082763
2 45 2.236068
2 47 6.324555
3 39 5.830952
3 43 7.615773
4 25 7.810250
4 27 8.485281
5 33 4.123106
5 9 6.082763
6 33 6.000000
6 40 6.082763
7 5 4.242641
7 9 5.000000
8 31 2.236068
8 22 8.062258
9 42 2.236068
9 33 7.615773
10 25 2.236068
10 15 11.045361
11 21 3.162278
11 23 8.544004
12 43 2.236068
12 21 6.708204
13 29 4.242641
13 49 4.472136
14 17 4.000000
14 29 6.708204
15 4 10.000000
16 10 3.605551
16 25 4.472136
17 47 7.211103
18 39 5.385165
18 23 9.848858
19 8 6.324555
19 38 6.403124
20 26 5.385165
21 19 9.055385
22 27 5.000000
22 31 6.324555
23 21 10.816654
24 46 2.236068
24 34 7.071068
26 28 5.000000
26 36 8.062258
27 38 7.810250
28 36 12.806248
30 41 3.000000
30 44 7.071068
32 12 2.828427
32 48 7.400000
34 41 4.123106
34 44 4.242641
35 45 6.324555
35 6 7.280110
36 37 6.403124
36 20 9.055385
37 25 9.899495
38 42 2.828427
39 43 4.472136
40 33 7.810250
44 46 5.385165
45 41 5.099020
47 48 3.605551
48 17 8.062258
49 50 4.472136
50 30 9.219544
7 37 6.95510
5 36 7.95310
40 21 8.6320
24 35 6.95110
29 49 3.65210
3 48 5.3201
3 18 5.3210
40 19 8.9652
9 38 2.65210
7 42 4.6210

