50 80
21.000000 13.000000
37.000000 36.000000
18.000000 6.000000
10.000000 9.000000
20.000000 27.000000
40.000000 37.000000
6.000000 24.000000
48.000000 40.000000
35.000000 41.000000
16.000000 15.000000
45.000000 45.000000
26.000000 21.000000
3.000000 25.000000
25.000000 4.000000
31.000000 48.000000
17.000000 18.000000
35.000000 37.000000
26.000000 47.000000
46.000000 47.000000
26.000000 38.000000
36.000000 16.000000
23.000000 43.000000
40.000000 24.000000
35.000000 28.000000
15.000000 4.000000
43.000000 13.000000
49.000000 21.000000
36.000000 4.000000
48.000000 11.000000
9.000000 31.000000
12.000000 28.000000
49.000000 47.000000
16.000000 28.000000
46.000000 14.000000
27.000000 23.000000
3.000000 13.000000
39.000000 28.000000
2.000000 44.000000
10.000000 20.000000
0.000000 5.000000
33.000000 49.000000
29.000000 19.000000
5.000000 27.000000
32.000000 14.000000
9.000000 44.000000
45.000000 10.000000
40.000000 40.000000
27.000000 17.000000
13.000000 32.000000
31.000000 4.000000
1 10 5.385165
1 16 6.403124
2 17 2.236068
2 6 3.352140
3 25 3.605551
3 4 8.544004
4 25 7.071068
4 36 8.062258
5 33 4.123106
5 35 8.062258
6 47 3.000000
6 17 5.000000
7 13 3.162278
7 43 3.162278
8 11 5.830952
8 32 7.071068
9 17 4.000000
9 47 5.099020
10 16 3.162278
10 39 7.810250
11 19 2.236068
11 32 4.472136
12 35 2.236068
12 42 3.605551
13 43 2.828427
7 30 8.485281
14 50 6.000000
14 25 10.000000
15 41 2.236068
15 22 9.433981
16 39 7.280110
18 22 5.000000
18 41 7.280110
19 32 3.000000
20 22 5.830952
20 15 11.180340
21 44 4.472136
21 42 7.615773
23 37 4.123106
23 27 9.486833
24 37 4.000000
24 17 9.000000
26 34 3.162278
26 46 3.605551
27 34 7.615773
27 26 10.000000
28 50 5.000000
28 46 10.816654
29 46 3.162278
29 27 10.049876
30 49 4.123106
30 43 5.656854
31 33 4.000000
31 49 4.123106
11 47 8.901754
33 49 5.000000
34 29 3.605551
35 42 4.472136
36 40 8.544004
37 6 9.055385
38 45 7.000000
38 49 16.278821
39 7 5.656854
40 25 15.033296
42 48 2.828427
44 42 5.830952
45 49 12.649111
46 34 4.123106
48 44 5.830952
50 44 10.049876
36 7 10.0110
1 3 7.62314
3 14 5.63210
21 26 5.66214
24 35 7.65210
20 17 8.6521
19 41 11.3254
22 45 11.3652
31 30 3.21203
4 10 8.6523


