50 80
11.000000 41.000000
36.000000 15.000000
37.000000 48.000000
35.000000 37.000000
4.000000 20.000000
38.000000 35.000000
41.000000 44.000000
14.000000 24.000000
8.000000 23.000000
20.000000 3.000000
16.000000 26.000000
6.000000 46.000000
46.000000 19.000000
28.000000 27.000000
25.000000 41.000000
20.000000 12.000000
7.000000 8.000000
10.000000 44.000000
45.000000 16.000000
15.000000 36.000000
1.000000 6.000000
30.000000 16.000000
32.000000 40.000000
41.000000 3.000000
46.000000 27.000000
6.000000 25.000000
8.000000 2.000000
46.000000 39.000000
31.000000 21.000000
30.000000 1.000000
11.000000 46.000000
34.000000 9.000000
12.000000 49.000000
45.000000 11.000000
1.000000 16.000000
26.000000 9.000000
41.000000 36.000000
25.000000 44.000000
10.000000 8.000000
47.000000 46.000000
47.000000 9.000000
42.000000 31.000000
18.000000 4.000000
32.000000 13.000000
20.000000 40.000000
38.000000 0.000000
32.000000 5.000000
24.000000 29.000000
19.000000 27.000000
45.000000 45.000000
1 18 3.162278
1 31 5.000000
2 44 4.472136
2 32 6.324555
3 7 5.656854
3 40 8.544004
4 6 3.605551
4 23 4.242641
5 9 5.000000
5 35 5.000000
6 37 3.162278
6 42 5.656854
7 50 4.123106
7 23 9.324555
8 11 2.828427
8 49 5.830952
9 26 2.828427
9 8 6.082763
10 43 2.236068
10 30 10.198039
11 49 3.162278
12 18 4.472136
12 31 5.000000
13 19 3.162278
13 25 8.000000
14 48 4.472136
14 49 9.000000
15 38 3.000000
15 45 5.099020
16 36 6.708204
16 43 8.246211
17 39 3.000000
17 35 10.000000
18 31 2.236068
19 34 5.000000
20 1 6.403124
20 45 6.403124
21 17 6.324555
21 27 8.062258
22 44 3.605551
22 36 8.062258
23 15 7.071068
24 46 4.242641
24 47 9.219544
25 42 5.656854
25 37 10.295630
26 8 8.062258
27 17 6.082763
27 39 6.324555
28 37 5.830952
28 50 6.082763
29 22 5.099020
29 44 8.062258
30 47 4.472136
30 36 8.944272
31 33 3.162278
32 44 4.472136
32 47 4.472136
33 45 12.041595
34 41 2.828427
34 24 8.944272
35 9 9.899495
36 44 7.211103
37 42 5.099020
38 45 6.403124
40 50 2.236068
40 28 7.071068
41 24 8.485281
46 47 7.810250
48 49 5.385165
11 20 9.62310
14 29 4.63210
2 29 5.32010
2 19 6.20104
2 34 7.01262
39 43 6.93104
8 16 12.36521
3 38 9.565211
12 33 5.3210
44 47 6.2107

