50 81
38.000000 36.000000
33.000000 49.000000
25.000000 11.000000
45.000000 37.000000
19.000000 42.000000
35.000000 16.000000
1.000000 27.000000
48.000000 21.000000
34.000000 30.000000
34.000000 4.000000
22.000000 24.000000
7.000000 4.000000
30.000000 33.000000
33.000000 1.000000
10.000000 28.000000
46.000000 48.000000
16.000000 31.000000
49.000000 43.000000
42.000000 46.000000
33.000000 11.000000
38.000000 18.000000
30.000000 42.000000
48.000000 28.000000
13.000000 32.000000
10.000000 0.000000
38.000000 33.000000
24.000000 45.000000
37.000000 6.000000
28.000000 23.000000
7.000000 40.000000
3.000000 5.000000
40.000000 20.000000
37.000000 41.000000
37.000000 48.000000
43.000000 28.000000
19.000000 25.000000
22.000000 17.000000
3.000000 35.000000
1.000000 13.000000
48.000000 12.000000
39.000000 38.000000
18.000000 19.000000
10.000000 14.000000
35.000000 2.000000
36.000000 22.000000
46.000000 4.000000
6.000000 35.000000
4.000000 1.000000
15.000000 23.000000
26.000000 37.000000
1 41 2.236068
1 33 5.099020
2 34 4.123106
2 33 8.944272
3 37 6.708204
3 42 10.630146
4 41 6.082763
4 18 7.211103
5 27 5.830952
5 50 8.602325
6 21 3.605551
6 45 6.082763
7 38 8.246211
7 15 8.433981
8 23 7.000000
8 32 8.062258
9 13 5.000000
9 26 5.000000
10 44 2.236068
10 28 3.605551
11 36 3.162278
11 42 6.403124
12 31 4.123106
12 48 4.242641
13 50 5.656854
14 44 2.236068
14 10 3.403124
15 24 5.000000
15 49 7.071068
16 19 4.472136
16 34 9.000000
17 24 3.162278
17 36 6.708204
18 16 5.830952
18 19 7.615773
19 34 5.385165
20 6 5.385165
20 28 6.403124
21 32 2.828427
21 45 4.472136
22 50 6.403124
22 33 7.071068
23 35 5.000000
23 26 11.180340
24 47 7.615773
25 12 5.000000
25 48 6.082763
26 1 3.000000
27 22 6.708204
28 44 4.472136
29 11 6.082763
29 45 8.062258
30 47 5.099020
30 24 10.369317
31 48 4.123106
32 45 4.472136
33 41 3.605551
33 34 7.000000
35 26 7.071068
36 49 4.472136
37 42 4.472136
37 11 7.000000
38 47 3.000000
38 15 9.899495
39 31 8.246211
39 43 9.055385
40 46 8.246211
40 32 11.313708
42 49 5.000000
43 42 9.433981
46 44 11.180340
49 17 7.770330
17 50 8.62310
2 22 5.95510
4 23 6.62143
35 45 5.01243
3 20 6.32106
7 39 10.31046
3 25 16.3211
3 14 9.65214
28 40 8.65214
