50 82
42.000000 29.000000
25.000000 45.000000
44.000000 10.000000
39.000000 45.000000
24.000000 28.000000
33.000000 45.000000
47.000000 44.000000
23.000000 9.000000
10.000000 8.000000
12.000000 49.000000
33.000000 10.000000
3.000000 39.000000
40.000000 13.000000
35.000000 16.000000
0.000000 27.000000
47.000000 25.000000
38.000000 14.000000
42.000000 21.000000
7.000000 41.000000
17.000000 30.000000
41.000000 15.000000
27.000000 24.000000
25.000000 32.000000
15.000000 22.000000
41.000000 5.000000
35.000000 26.000000
23.000000 36.000000
6.000000 20.000000
13.000000 33.000000
15.000000 1.000000
49.000000 4.000000
14.000000 43.000000
4.000000 35.000000
0.000000 4.000000
21.000000 27.000000
36.000000 36.000000
43.000000 37.000000
8.000000 16.000000
23.000000 16.000000
38.000000 37.000000
40.000000 0.000000
11.000000 4.000000
28.000000 27.000000
34.000000 34.000000
13.000000 9.000000
31.000000 15.000000
43.000000 1.000000
42.000000 43.000000
32.000000 37.000000
30.000000 40.000000
1 16 6.403124
1 26 7.615773
2 50 7.071068
2 27 9.219544
3 13 5.000000
3 21 5.830952
4 48 3.605551
4 7 8.062258
5 35 3.162278
5 43 4.123106
6 50 5.830952
6 4 6.062258
7 48 5.099020
7 37 8.062258
8 39 7.000000
8 45 10.000000
9 45 3.162278
9 34 10.770330
10 32 6.324555
10 19 11.031220
11 46 5.385165
11 17 6.403124
12 33 4.123106
12 29 11.661904
13 17 2.236068
13 21 2.236068
14 17 3.605551
14 46 4.123106
15 33 8.944272
15 38 13.601471
16 18 6.403124
17 21 3.162278
18 21 6.082763
18 17 8.062258
19 12 4.472136
19 29 8.708204
20 29 5.000000
20 35 5.000000
22 43 3.162278
22 35 6.708204
23 5 4.123106
23 27 4.472136
24 35 7.810250
24 28 9.219544
25 47 4.472136
25 13 8.062258
26 43 7.071068
26 44 8.062258
27 50 8.062258
28 38 4.472136
29 33 9.219544
30 42 5.000000
30 45 8.246211
31 47 6.708204
31 25 8.062258
32 19 7.280110
34 42 11.000000
36 40 2.236068
36 44 2.828427
37 40 5.000000
37 48 6.082763
38 45 8.602325
39 46 8.062258
41 47 3.162278
41 25 5.848858
42 9 4.123106
43 23 5.830952
44 49 3.605551
45 42 5.385165
46 17 7.071068
49 50 3.605551
50 36 7.211103
9 38 7.65210
3 31 6.3211
14 18 6.3251
1 37 8.32014
22 46 9.6321
2 6 5.63210
27 32 12.3214
2 10 13.2143
24 39 8.3245
24 38 9.3251
