50 83
5.000000 6.000000
8.000000 45.000000
45.000000 7.000000
0.000000 35.000000
7.000000 12.000000
42.000000 2.000000
1.000000 22.000000
30.000000 37.000000
48.000000 41.000000
10.000000 13.000000
45.000000 3.000000
14.000000 39.000000
46.000000 48.000000
26.000000 29.000000
41.000000 31.000000
37.000000 49.000000
26.000000 32.000000
9.000000 28.000000
19.000000 18.000000
40.000000 11.000000
21.000000 43.000000
35.000000 1.000000
32.000000 43.000000
46.000000 32.000000
34.000000 6.000000
22.000000 8.000000
10.000000 48.000000
39.000000 1.000000
31.000000 26.000000
0.000000 9.000000
8.000000 9.000000
28.000000 30.000000
43.000000 49.000000
2.000000 10.000000
24.000000 48.000000
43.000000 11.000000
6.000000 38.000000
42.000000 16.000000
0.000000 15.000000
27.000000 12.000000
15.000000 16.000000
15.000000 49.000000
10.000000 3.000000
27.000000 0.000000
33.000000 27.000000
21.000000 32.000000
19.000000 22.000000
30.000000 34.000000
21.000000 23.000000
1.000000 32.000000
1 31 4.242641
1 34 5.000000
2 27 3.605551
2 37 7.280110
3 11 4.000000
3 36 4.472136
4 50 3.162278
4 7 13.038405
5 10 3.162278
5 31 3.162278
6 11 3.162278
6 28 3.162278
7 39 7.071068
7 50 10.000000
8 48 3.000000
8 17 6.280110
9 13 7.280110
9 24 9.219544
10 31 4.472136
11 20 8.324555
12 21 8.062258
12 37 8.062258
13 33 3.162278
13 16 9.055385
14 32 2.236068
14 29 5.830952
15 24 5.099020
15 45 8.944272
16 33 6.000000
16 35 13.038405
17 32 2.828427
17 48 4.472136
18 50 8.944272
18 37 10.440307
19 47 4.000000
19 49 5.385165
20 36 3.000000
20 38 5.385165
21 35 5.830952
21 42 8.485281
22 28 4.000000
22 44 8.062258
23 8 6.324555
23 16 7.810250
24 45 13.928388
25 22 5.099020
25 28 7.071068
26 40 6.403124
26 44 9.433981
27 42 5.099020
29 45 2.236068
29 38 11.810250
30 34 2.236068
30 39 6.000000
34 5 5.385165
35 42 9.055385
36 38 5.099020
37 4 6.708204
37 50 7.810250
38 25 12.806248
39 34 5.385165
39 5 8.000000
40 44 12.000000
41 19 4.472136
41 47 7.211103
43 1 5.830952
43 31 6.324555
44 25 9.219544
45 32 5.830952
46 17 5.000000
46 32 7.280110
47 49 2.236068
49 46 9.000000
26 43 10.32104
26 41 8.62134
10 41 4.65211
19 40 8.21457
7 18 7.32147
14 46 5.32104
12 46 9.32404
21 23 8.63214
25 406.65213
38 40 12.32654
