50 78
29.000000 30.000000
32.000000 14.000000
37.000000 17.000000
41.000000 47.000000
26.000000 1.000000
9.000000 0.000000
34.000000 21.000000
14.000000 29.000000
38.000000 19.000000
19.000000 25.000000
26.000000 24.000000
47.000000 19.000000
45.000000 37.000000
4.000000 26.000000
17.000000 39.000000
40.000000 7.000000
6.000000 34.000000
4.000000 35.000000
35.000000 16.000000
37.000000 1.000000
21.000000 22.000000
2.000000 49.000000
47.000000 43.000000
49.000000 46.000000
15.000000 32.000000
16.000000 10.000000
38.000000 39.000000
12.000000 28.000000
14.000000 2.000000
5.000000 0.000000
20.000000 40.000000
23.000000 8.000000
42.000000 26.000000
49.000000 40.000000
16.000000 48.000000
44.000000 0.000000
0.000000 12.000000
12.000000 21.000000
12.000000 49.000000
29.000000 10.000000
20.000000 45.000000
15.000000 25.000000
18.000000 21.000000
45.000000 10.000000
47.000000 33.000000
27.000000 48.000000
23.000000 43.000000
46.000000 8.000000
11.000000 42.000000
9.000000 13.000000
1 11 6.708204
1 10 11.180340
2 19 3.605551
2 40 5.000000
3 9 2.236068
3 19 2.236068
4 23 7.211103
4 24 8.062258
5 32 7.615773
5 40 9.486833
6 30 4.000000
6 50 13.000000
7 9 4.472136
7 19 5.099020
8 28 2.236068
8 42 4.123106
9 19 4.242641
10 21 3.605551
10 42 4.000000
11 21 5.385165
11 10 7.071068
12 33 8.602325
12 44 9.219544
13 45 4.472136
13 27 7.280110
14 17 8.246211
14 28 8.246211
15 31 3.162278
15 41 6.708204
16 44 5.830952
16 48 6.082763
17 18 2.236068
17 28 8.485281
18 49 9.899495
20 16 6.708204
20 36 7.071068
21 43 3.162278
22 39 10.000000
22 49 11.401754
23 24 3.605551
23 34 3.605551
24 34 6.000000
25 8 3.162278
25 28 5.000000
26 32 7.280110
26 50 7.615773
27 23 9.848858
28 42 4.242641
29 6 5.385165
29 26 8.246211
30 37 12.219544
31 47 4.242641
32 40 6.324555
32 29 10.816654
33 9 8.062258
35 39 4.123106
35 41 5.000000
36 48 8.246211
37 50 9.055385
37 38 15.000000
38 42 5.000000
38 43 6.000000
39 49 7.071068
41 47 3.605551
43 42 5.000000
44 48 2.236068
44 3 10.049876
45 34 7.280110
46 47 6.403124
46 35 11.000000
49 15 6.708204
50 38 8.544004
4 46 12.32014
1 27 10.32411
33 45 8.66541
26 43 9.65244
7 11 6.21454
5 20 7.8777
