50 73
7.000000 21.000000
36.000000 44.000000
24.000000 49.000000
46.000000 5.000000
11.000000 16.000000
0.000000 28.000000
43.000000 48.000000
14.000000 11.000000
19.000000 11.000000
23.000000 16.000000
44.000000 2.000000
17.000000 19.000000
48.000000 13.000000
28.000000 9.000000
8.000000 39.000000
12.000000 10.000000
11.000000 36.000000
11.000000 7.000000
41.000000 25.000000
25.000000 44.000000
3.000000 19.000000
42.000000 19.000000
32.000000 11.000000
31.000000 8.000000
29.000000 27.000000
10.000000 46.000000
47.000000 8.000000
10.000000 27.000000
19.000000 18.000000
18.000000 43.000000
35.000000 30.000000
6.000000 46.000000
6.000000 12.000000
44.000000 31.000000
6.000000 0.000000
2.000000 48.000000
19.000000 35.000000
9.000000 2.000000
45.000000 39.000000
30.000000 5.000000
16.000000 47.000000
6.000000 35.000000
17.000000 24.000000
31.000000 2.000000
1.000000 25.000000
8.000000 7.000000
38.000000 3.000000
40.000000 44.000000
5.000000 43.000000
45.000000 24.000000
1 21 4.472136
1 28 6.708204
2 48 4.000000
2 39 10.295630
3 20 5.099020
3 41 8.246211
4 27 3.162278
50 13 11.246211
5 8 5.830952
5 16 6.082763
6 45 3.162278
6 28 10.049876
7 48 5.000000
7 39 9.219544
8 16 2.236068
8 18 5.000000
9 8 5.000000
9 10 6.403124
10 29 4.472136
5 12 5.708204
11 4 3.605551
11 47 6.082763
12 29 2.236068
12 43 5.000000
13 27 5.099020
13 22 8.485281
14 24 3.162278
14 40 4.472136
15 17 4.242641
15 42 4.472136
16 18 3.162278
17 42 5.099020
18 46 3.000000
18 38 5.385165
19 50 4.123106
19 34 6.708204
20 30 7.071068
21 45 6.324555
22 50 5.830952
22 27 12.083046
23 24 3.162278
23 14 4.324555
25 31 6.708204
25 43 12.369317
26 32 4.000000
26 49 5.830952
28 43 7.615773
29 9 7.324555
30 41 4.472136
30 37 8.062258
31 34 9.055385
32 49 3.162278
32 36 4.472136
33 46 5.385165
33 18 7.071068
34 50 7.071068
35 38 3.605551
35 46 7.280110
36 49 5.830952
37 17 8.062258
38 46 5.099020
39 48 7.071068
39 31 13.453624
40 24 3.162278
40 44 3.162278
41 20 9.486833
44 47 7.071068
2 20 8.88541
25 37 10.3214
6 42 6.32155
15 49 5.02134
26 41 4.31456
14 9 6.59841
