50 80
30.000000 4.000000
29.000000 25.000000
45.000000 9.000000
32.000000 33.000000
38.000000 48.000000
30.000000 46.000000
36.000000 0.000000
20.000000 17.000000
4.000000 26.000000
6.000000 5.000000
4.000000 14.000000
14.000000 42.000000
19.000000 5.000000
38.000000 24.000000
48.000000 33.000000
1.000000 30.000000
40.000000 30.000000
5.000000 35.000000
41.000000 39.000000
20.000000 31.000000
38.000000 1.000000
27.000000 24.000000
3.000000 47.000000
43.000000 7.000000
25.000000 1.000000
13.000000 31.000000
17.000000 29.000000
23.000000 37.000000
34.000000 14.000000
13.000000 34.000000
49.000000 16.000000
46.000000 21.000000
27.000000 39.000000
13.000000 47.000000
20.000000 1.000000
0.000000 47.000000
27.000000 3.000000
11.000000 24.000000
23.000000 26.000000
5.000000 40.000000
7.000000 31.000000
29.000000 42.000000
45.000000 45.000000
11.000000 45.000000
38.000000 8.000000
49.000000 31.000000
16.000000 20.000000
34.000000 19.000000
17.000000 11.000000
22.000000 14.000000
1 37 3.162278
1 7 7.544004
2 22 2.236068
2 39 6.082763
3 24 2.828427
3 45 7.071068
4 33 7.810250
4 17 8.544004
5 43 7.615773
5 19 9.486833
6 42 4.123106
6 28 11.401754
7 21 2.236068
7 45 8.246211
8 50 3.605551
8 49 6.708204
9 16 5.000000
9 41 5.830952
10 11 9.219544
10 49 12.529964
11 38 12.206556
12 44 4.242641
12 40 9.219544
13 35 4.123106
13 49 6.324555
14 17 6.324555
14 48 6.403124
15 46 2.236068
15 19 9.219544
16 41 6.082763
17 15 8.544004
18 41 4.472136
18 30 8.062258
19 43 7.211103
19 17 10.313708
20 27 3.605551
20 39 5.830952
21 45 7.000000
22 39 4.472136
23 36 3.000000
23 40 7.280110
24 45 5.099020
25 37 2.828427
25 13 7.211103
26 30 3.000000
26 41 6.000000
27 26 4.472136
28 33 4.472136
28 42 7.810250
29 48 5.000000
29 14 10.770330
30 27 6.403124
31 32 5.830952
31 3 9.016654
32 46 10.440307
33 42 3.605551
33 20 10.630146
34 44 2.828427
34 23 10.000000
35 25 5.000000
36 40 8.602325
37 13 8.280110
38 47 6.403124
38 26 7.280110
39 27 6.708204
40 18 5.000000
43 15 12.369317
44 40 7.810250
45 29 7.211103
46 17 9.055385
47 8 5.000000
48 22 8.602325
49 50 5.830952
49 47 9.055385
1 45 8.65412
1 50 10.2364
1 49 11.95514
9 38 6.3210
12 28 9.3214
5 6 5.3254
