50 75
23.000000 47.000000
29.000000 24.000000
36.000000 46.000000
7.000000 42.000000
44.000000 46.000000
13.000000 21.000000
42.000000 16.000000
19.000000 26.000000
24.000000 34.000000
41.000000 36.000000
7.000000 36.000000
34.000000 28.000000
0.000000 20.000000
45.000000 44.000000
15.000000 10.000000
36.000000 30.000000
42.000000 44.000000
25.000000 39.000000
42.000000 38.000000
12.000000 34.000000
6.000000 32.000000
10.000000 30.000000
18.000000 3.000000
16.000000 27.000000
39.000000 3.000000
23.000000 2.000000
36.000000 12.000000
47.000000 3.000000
22.000000 41.000000
49.000000 11.000000
22.000000 44.000000
5.000000 47.000000
35.000000 49.000000
33.000000 43.000000
31.000000 46.000000
25.000000 49.000000
1.000000 42.000000
26.000000 41.000000
47.000000 34.000000
35.000000 22.000000
34.000000 36.000000
25.000000 8.000000
27.000000 26.000000
19.000000 49.000000
48.000000 5.000000
5.000000 9.000000
30.000000 36.000000
5.000000 6.000000
38.000000 6.000000
0.000000 16.000000
1 36 2.828427
1 44 4.472136
2 43 2.828427
2 12 7.219544
3 33 3.162278
3 34 4.242641
4 32 5.385165
4 37 6.000000
5 14 2.236068
5 17 2.828427
6 24 6.708204
6 22 9.486833
7 27 7.211103
7 30 8.602325
8 24 3.162278
8 43 8.000000
9 18 5.099020
10 19 2.236068
10 39 6.324555
11 21 4.123106
11 20 5.708204
12 16 2.828427
12 40 6.082763
13 50 4.000000
13 21 13.416408
14 17 3.000000
15 23 7.615773
15 46 10.049876
16 41 6.324555
18 38 2.236068
18 31 5.830952
19 17 6.000000
20 22 4.472136
20 21 6.324555
21 22 4.472136
23 26 5.099020
23 42 8.602325
24 22 6.708204
25 49 3.162278
25 45 9.219544
26 42 6.324555
27 49 6.324555
27 40 9.486833
28 45 2.236068
28 25 7.246211
29 31 3.000000
29 18 3.562000
30 45 6.082763
42 49 13.083046
31 38 5.000000
32 37 6.403124
33 35 5.000000
34 35 3.605551
34 33 6.324555
36 31 5.830952
39 19 6.403124
40 16 8.062258
41 47 4.000000
41 34 7.071068
42 27 11.704700
43 12 7.280110
44 31 5.830952
46 48 3.000000
46 50 8.602325
47 38 6.403124
48 50 11.180340
9 43 8.23103
35 36 7.6214
10 41 6.3215
14 19 5.3210
3 17 6.32140
4 11 5.3221
11 37 7.6523
36 44 6.3210
