50 75
44.000000 33.000000
26.000000 23.000000
29.000000 20.000000
45.000000 24.000000
49.000000 1.000000
17.000000 30.000000
46.000000 46.000000
28.000000 48.000000
49.000000 14.000000
2.000000 12.000000
0.000000 44.000000
41.000000 24.000000
23.000000 31.000000
19.000000 29.000000
27.000000 37.000000
20.000000 21.000000
22.000000 48.000000
46.000000 3.000000
20.000000 42.000000
27.000000 19.000000
43.000000 46.000000
1.000000 40.000000
42.000000 32.000000
40.000000 43.000000
6.000000 46.000000
38.000000 49.000000
23.000000 13.000000
30.000000 42.000000
42.000000 7.000000
31.000000 14.000000
30.000000 5.000000
12.000000 27.000000
8.000000 32.000000
21.000000 35.000000
1.000000 14.000000
6.000000 26.000000
19.000000 33.000000
43.000000 27.000000
31.000000 33.000000
26.000000 6.000000
47.000000 8.000000
15.000000 31.000000
4.000000 48.000000
36.000000 18.000000
25.000000 46.000000
12.000000 15.000000
11.000000 21.000000
21.000000 14.000000
42.000000 17.000000
48.000000 20.000000
1 23 2.236068
1 38 6.082763
2 20 4.123106
2 16 6.324555
3 20 2.236068
3 30 6.324555
4 38 3.605551
4 50 5.000000
5 18 3.605551
5 41 7.280110
6 14 2.236068
6 42 2.236068
7 21 3.000000
7 24 6.708204
8 45 3.605551
8 28 6.324555
9 50 6.082763
9 49 7.615773
10 35 2.236068
10 46 10.440307
11 22 4.123106
11 43 5.656854
12 38 3.605551
12 49 7.071068
13 14 4.472136
13 34 4.472136
14 37 4.000000
15 39 5.656854
15 34 6.324555
16 48 7.071068
17 45 3.605551
17 19 6.324555
18 41 5.099020
19 45 6.403124
20 30 6.403124
21 24 4.242641
22 25 7.810250
23 38 5.099020
24 26 6.324555
25 43 2.828427
26 21 5.830952
27 48 2.236068
27 40 7.615773
28 15 5.830952
28 45 6.403124
29 41 5.099020
29 9 9.899495
31 40 4.123106
31 29 12.165525
32 42 5.000000
32 36 6.082763
33 36 6.324555
33 42 7.071068
34 37 2.828427
34 14 6.324555
35 46 11.045361
39 28 9.055385
40 30 9.433981
42 37 4.472136
43 22 8.544004
44 49 6.082763
44 12 7.810250
46 47 6.082763
46 48 9.055385
47 32 6.082763
48 20 7.810250
49 50 6.708204
19 25 13.25413
22 33 10.01234
24 28 8.632541
1 24 10.32141
3 44 6.32145
30 44 5.65214
18 29 5.32440
16 47 8.32541
