50 76
49.000000 49.000000
0.000000 36.000000
21.000000 39.000000
8.000000 5.000000
25.000000 35.000000
13.000000 2.000000
11.000000 33.000000
4.000000 34.000000
41.000000 37.000000
40.000000 46.000000
46.000000 22.000000
35.000000 3.000000
30.000000 23.000000
11.000000 30.000000
41.000000 13.000000
29.000000 44.000000
49.000000 2.000000
33.000000 9.000000
7.000000 10.000000
14.000000 8.000000
8.000000 18.000000
44.000000 19.000000
23.000000 37.000000
6.000000 15.000000
39.000000 21.000000
7.000000 20.000000
34.000000 32.000000
31.000000 35.000000
34.000000 16.000000
47.000000 44.000000
26.000000 43.000000
19.000000 41.000000
3.000000 29.000000
11.000000 47.000000
48.000000 36.000000
35.000000 7.000000
1.000000 23.000000
11.000000 43.000000
13.000000 40.000000
42.000000 15.000000
29.000000 28.000000
49.000000 11.000000
15.000000 34.000000
27.000000 12.000000
30.000000 4.000000
6.000000 1.000000
47.000000 9.000000
30.000000 8.000000
9.000000 28.000000
45.000000 46.000000
1 50 5.000000
1 35 13.038405
2 8 4.472136
2 33 7.615773
3 23 2.828427
3 32 2.828427
4 46 4.472136
4 20 6.708204
5 23 2.828427
5 28 6.000000
6 4 5.830952
6 20 6.082763
7 14 3.000000
7 43 4.123106
8 33 5.099020
9 35 7.071068
9 30 9.219544
10 50 5.000000
10 16 11.180340
11 22 3.605551
11 25 7.071068
12 36 4.000000
12 45 5.099020
13 41 5.099020
13 27 9.848858
14 49 2.828427
14 43 5.656854
15 40 2.236068
15 29 6.211103
16 31 3.162278
16 28 9.219544
17 47 7.280110
17 40 14.764823
18 36 2.828427
18 48 3.162278
19 4 5.099020
19 24 5.099020
20 19 7.280110
21 26 2.236068
21 37 8.602325
22 40 4.472136
24 21 3.605551
49 26 7.099020
25 22 5.385165
25 40 6.708204
27 28 4.242641
27 41 6.403124
28 41 7.280110
29 18 7.071068
29 25 7.071068
30 50 2.828427
30 10 7.280110
31 23 6.708204
13 29 5.656854
33 49 6.082763
34 38 4.000000
34 39 7.280110
35 30 8.062258
36 48 5.099020
37 33 6.324555
37 24 9.433981
38 39 3.605551
38 43 9.848858
39 43 6.324555
42 47 2.828427
42 17 9.000000
44 48 5.000000
44 29 8.062258
45 48 4.000000
15 18 8.830952
46 6 7.071068
32 39 6.3214
9 27 7.65244
20 44 12.3210
40 47 8.6524
25 27 10.3251
