50 78
37.000000 48.000000
19.000000 49.000000
41.000000 13.000000
22.000000 6.000000
5.000000 16.000000
22.000000 34.000000
46.000000 21.000000
45.000000 11.000000
7.000000 25.000000
26.000000 39.000000
31.000000 34.000000
40.000000 28.000000
43.000000 20.000000
38.000000 4.000000
1.000000 35.000000
0.000000 38.000000
36.000000 19.000000
34.000000 13.000000
36.000000 39.000000
29.000000 10.000000
26.000000 25.000000
33.000000 23.000000
39.000000 43.000000
48.000000 17.000000
32.000000 29.000000
1.000000 23.000000
9.000000 46.000000
45.000000 0.000000
1.000000 46.000000
37.000000 1.000000
37.000000 23.000000
23.000000 26.000000
5.000000 7.000000
42.000000 43.000000
49.000000 21.000000
49.000000 38.000000
48.000000 40.000000
31.000000 47.000000
41.000000 40.000000
6.000000 36.000000
40.000000 7.000000
35.000000 29.000000
11.000000 22.000000
5.000000 34.000000
0.000000 10.000000
5.000000 40.000000
16.000000 10.000000
17.000000 17.000000
0.000000 16.000000
7.000000 32.000000
1 23 5.385165
1 38 6.082763
2 27 10.440307
2 38 12.165525
3 8 4.472136
3 41 6.082763
4 47 7.211103
4 48 12.083046
5 49 5.000000
5 43 8.485281
6 10 6.403124
6 32 8.062258
7 35 3.000000
7 24 4.472136
8 41 6.403124
9 43 5.000000
9 50 7.000000
10 11 7.071068
11 25 5.099020
11 42 6.403124
12 42 5.099020
12 7 9.602325
13 7 3.162278
13 24 5.830952
14 30 3.162278
14 41 3.605551
15 16 3.162278
15 44 4.123106
16 46 5.385165
17 31 4.123106
17 12 9.848858
18 20 5.830952
18 41 8.485281
19 23 5.000000
19 39 5.099020
20 14 10.816654
21 32 3.162278
21 22 6.848858
22 31 4.000000
22 25 6.082763
23 34 3.000000
23 39 3.605551
24 35 4.123106
25 42 3.000000
26 9 6.324555
26 49 7.071068
27 46 7.211103
27 40 10.440307
28 14 8.062258
28 30 8.062258
29 46 7.211103
29 16 9.180340
31 42 6.324555
32 25 9.486833
33 45 5.830952
33 49 10.295630
34 39 3.162278
36 37 2.236068
36 39 8.246211
37 39 7.000000
38 23 8.944272
40 44 2.236068
40 46 4.123106
42 22 6.324555
43 48 7.810250
44 50 2.828427
45 49 6.000000
46 44 6.000000
47 48 7.071068
47 33 11.401754
48 21 12.041595
15 46 6.246211
10 38 9.65410
11 19 8.65214
17 18 6.32541
8 24 7.84123
4 20 8.32541
