50 76
13.000000 16.000000
0.000000 43.000000
28.000000 41.000000
33.000000 34.000000
29.000000 25.000000
44.000000 14.000000
5.000000 5.000000
38.000000 10.000000
41.000000 41.000000
22.000000 34.000000
33.000000 27.000000
25.000000 1.000000
39.000000 42.000000
18.000000 39.000000
10.000000 27.000000
23.000000 23.000000
45.000000 23.000000
19.000000 23.000000
14.000000 2.000000
10.000000 46.000000
30.000000 4.000000
10.000000 35.000000
11.000000 1.000000
47.000000 2.000000
42.000000 19.000000
36.000000 27.000000
48.000000 13.000000
29.000000 37.000000
8.000000 49.000000
26.000000 18.000000
27.000000 0.000000
25.000000 13.000000
48.000000 42.000000
17.000000 8.000000
38.000000 47.000000
34.000000 25.000000
1.000000 31.000000
29.000000 43.000000
2.000000 15.000000
21.000000 2.000000
31.000000 0.000000
1.000000 20.000000
9.000000 30.000000
22.000000 5.000000
5.000000 47.000000
39.000000 38.000000
13.000000 29.000000
5.000000 31.000000
27.000000 10.000000
48.000000 48.000000
1 34 8.944272
1 39 11.045361
2 45 6.403124
2 37 12.041595
3 38 2.236068
3 10 9.219544
4 28 5.000000
4 46 7.211103
5 11 4.472136
5 36 5.000000
6 27 4.123106
6 17 9.055385
7 23 7.211103
7 39 10.440307
8 6 7.211103
8 25 9.848858
9 13 2.236068
9 46 3.605551
10 14 6.403124
10 28 7.615773
11 36 2.236068
5 16 6.770330
12 31 2.236068
12 40 4.123106
13 46 4.000000
14 22 8.944272
15 43 3.162278
15 47 3.605551
16 18 4.000000
16 30 5.830952
17 25 5.000000
17 26 9.848858
18 47 8.485281
19 23 3.162278
19 34 6.708204
20 29 3.605551
20 45 5.099020
21 41 4.123106
21 49 6.708204
22 43 5.099020
22 48 6.403124
23 34 9.219544
24 27 11.045361
24 41 16.124515
17 27 10.485281
26 36 2.828427
28 3 4.123106
29 45 3.605551
30 32 5.099020
30 49 8.062258
31 41 4.000000
32 49 3.605551
32 44 8.544004
33 50 6.000000
33 13 9.000000
34 44 5.830952
34 40 7.211103
35 13 5.099020
35 38 9.055385
37 48 4.000000
37 22 9.848858
38 28 6.000000
39 42 5.099020
39 15 14.422205
40 44 3.162278
21 31 5.324555
19 40 8.198039
42 48 11.704700
43 47 4.123106
45 22 13.000000
48 43 4.123106
49 44 7.071068
50 35 10.049876
4 11 7.8741
14 20 8.95412
8 49 9.65641
