50 72
14.000000 31.000000
0.000000 6.000000
22.000000 1.000000
26.000000 34.000000
32.000000 48.000000
39.000000 39.000000
47.000000 12.000000
44.000000 39.000000
2.000000 7.000000
18.000000 41.000000
34.000000 0.000000
15.000000 38.000000
34.000000 23.000000
21.000000 11.000000
33.000000 19.000000
11.000000 49.000000
3.000000 13.000000
5.000000 25.000000
9.000000 48.000000
39.000000 33.000000
15.000000 33.000000
22.000000 17.000000
40.000000 42.000000
8.000000 24.000000
45.000000 24.000000
47.000000 35.000000
42.000000 32.000000
7.000000 5.000000
31.000000 10.000000
37.000000 34.000000
24.000000 49.000000
33.000000 8.000000
0.000000 22.000000
43.000000 17.000000
8.000000 15.000000
9.000000 44.000000
25.000000 4.000000
20.000000 39.000000
27.000000 29.000000
1.000000 34.000000
34.000000 35.000000
46.000000 2.000000
37.000000 0.000000
32.000000 22.000000
10.000000 34.000000
1.000000 4.000000
18.000000 37.000000
5.000000 30.000000
32.000000 30.000000
21.000000 22.000000
1 21 2.236068
1 45 5.000000
2 9 2.236068
2 46 2.236068
3 37 4.242641
3 14 10.727922
4 39 5.099020
4 49 7.211103
5 31 8.062258
5 41 13.152946
6 23 3.162278
6 30 5.385165
7 34 6.403124
7 42 10.049876
8 6 5.000000
8 23 5.000000
9 46 3.162278
10 38 2.828427
10 47 4.000000
11 43 3.000000
11 37 9.848858
12 47 3.162278
12 21 5.000000
13 44 2.236068
13 49 7.280110
14 22 6.082763
14 37 8.062258
15 44 3.162278
15 29 9.219544
16 19 2.236068
16 36 5.385165
17 35 5.385165
17 28 8.944272
18 24 3.162278
18 48 5.000000
19 36 4.000000
20 30 2.236068
4 41 7.385165
22 50 5.099020
22 15 11.180340
24 48 6.708204
25 34 7.280110
25 26 11.180340
26 8 5.000000
26 27 5.830952
27 20 3.162278
27 6 7.385165
28 9 5.385165
28 46 6.082763
29 32 2.828427
29 37 8.485281
30 41 3.162278
31 10 10.000000
32 37 8.944272
33 18 5.830952
33 24 8.246211
35 24 9.000000
36 45 10.049876
38 47 2.828427
39 49 5.099020
40 48 5.656854
40 33 12.041595
41 49 5.385165
42 43 9.219544
3 11 10.165525
43 32 8.944272
45 21 5.099020
47 21 5.000000
50 39 9.219544
45 48 6.23510
17 33 8.6521
17 9 7.65214
