50 70
22.000000 48.000000
1.000000 25.000000
34.000000 38.000000
10.000000 30.000000
42.000000 38.000000
16.000000 31.000000
39.000000 48.000000
3.000000 49.000000
33.000000 2.000000
3.000000 34.000000
8.000000 23.000000
22.000000 13.000000
3.000000 6.000000
45.000000 40.000000
10.000000 19.000000
14.000000 34.000000
19.000000 17.000000
10.000000 4.000000
5.000000 22.000000
36.000000 48.000000
11.000000 2.000000
1.000000 35.000000
39.000000 6.000000
30.000000 46.000000
2.000000 8.000000
27.000000 15.000000
27.000000 41.000000
49.000000 47.000000
9.000000 11.000000
3.000000 16.000000
36.000000 39.000000
16.000000 49.000000
44.000000 48.000000
1.000000 47.000000
33.000000 24.000000
11.000000 7.000000
23.000000 41.000000
4.000000 36.000000
28.000000 6.000000
45.000000 6.000000
21.000000 22.000000
49.000000 23.000000
21.000000 10.000000
27.000000 20.000000
16.000000 43.000000
43.000000 20.000000
9.000000 28.000000
25.000000 44.000000
1.000000 28.000000
14.000000 9.000000
1 48 5.000000
1 37 7.071068
2 49 3.000000
2 47 8.544004
3 31 2.236068
3 27 7.944272
4 47 2.236068
4 10 9.280110
5 14 3.605551
5 31 6.082763
6 16 3.605551
6 47 7.615773
7 20 3.000000
7 33 5.000000
8 34 2.828427
8 38 13.038405
9 39 6.403124
9 40 12.649111
10 22 2.236068
10 38 2.236068
11 19 3.162278
11 47 5.099020
12 43 3.162278
12 26 5.385165
13 25 2.236068
13 29 7.810250
14 28 8.062258
15 11 4.472136
15 19 5.830952
16 4 6.810250
17 12 5.000000
17 41 5.385165
18 21 2.236068
18 36 3.162278
20 24 6.324555
21 36 5.000000
22 38 3.162278
23 40 6.000000
23 39 11.000000
24 48 5.385165
27 37 4.602325
25 29 7.615773
26 44 5.000000
26 43 7.810250
27 48 3.605551
27 31 9.219544
28 33 5.099020
31 20 11.038405
29 36 4.472136
29 50 5.385165
30 19 6.324555
30 29 7.810250
32 45 6.000000
32 1 7.295630
34 38 11.401754
35 44 7.211103
35 46 10.770330
36 50 3.605551
37 48 3.605551
37 45 7.280110
39 43 8.062258
40 46 14.142136
41 44 6.324555
42 46 6.708204
42 14 17.464249
43 50 7.071068
49 10 6.324555
41 6 9.65514
16 45 8.65214
8 32 10.32104
