50 71
14.000000 9.000000
17.000000 37.000000
34.000000 17.000000
10.000000 7.000000
27.000000 47.000000
34.000000 6.000000
19.000000 0.000000
0.000000 39.000000
12.000000 45.000000
11.000000 21.000000
26.000000 38.000000
17.000000 30.000000
26.000000 18.000000
26.000000 25.000000
19.000000 40.000000
36.000000 36.000000
29.000000 22.000000
3.000000 42.000000
30.000000 33.000000
39.000000 14.000000
39.000000 8.000000
14.000000 41.000000
49.000000 28.000000
37.000000 13.000000
1.000000 15.000000
3.000000 18.000000
45.000000 32.000000
38.000000 6.000000
31.000000 10.000000
6.000000 17.000000
47.000000 36.000000
40.000000 2.000000
37.000000 19.000000
36.000000 27.000000
29.000000 2.000000
20.000000 31.000000
32.000000 7.000000
24.000000 1.000000
33.000000 41.000000
6.000000 9.000000
35.000000 14.000000
28.000000 34.000000
0.000000 20.000000
39.000000 30.000000
44.000000 26.000000
1.000000 30.000000
3.000000 33.000000
34.000000 24.000000
14.000000 16.000000
33.000000 12.000000
1 4 4.472136
1 49 7.000000
2 15 3.605551
2 22 5.000000
3 41 3.162278
3 50 5.099020
4 40 4.472136
5 39 8.485281
5 15 10.630146
6 37 2.236068
6 29 5.000000
7 38 5.099020
7 4 11.401754
8 18 4.242641
8 47 6.708204
9 22 4.472136
9 18 9.486833
10 49 5.830952
10 43 11.045361
11 42 4.472136
11 39 7.615773
12 36 3.162278
12 15 10.198039
13 17 5.000000
13 50 9.219544
14 17 4.242641
14 48 8.062258
15 22 5.099020
16 39 5.830952
16 44 6.708204
17 48 5.385165
18 47 9.000000
19 42 2.236068
19 16 6.708204
20 24 2.236068
20 41 4.000000
21 28 2.236068
21 24 5.385165
23 45 5.385165
23 31 8.246211
24 41 2.236068
25 26 3.605551
25 43 5.099020
26 30 3.162278
26 43 3.605551
27 31 4.472136
27 45 6.082763
28 32 4.472136
29 50 2.828427
29 13 9.656854
30 10 8.708204
31 44 10.000000
32 6 8.933981
33 3 3.605551
33 20 5.385165
34 48 3.605551
34 45 8.062258
35 38 5.099020
35 29 8.246211
36 14 8.485281
37 29 3.162278
39 19 8.544004
40 25 7.810250
41 50 2.828427
31 16 12.246211
44 34 4.242641
44 45 6.403124
46 47 3.605551
46 43 10.049876
48 33 5.830952
49 30 8.062258
