50 77
1.000000 8.000000
13.000000 4.000000
30.000000 47.000000
46.000000 8.000000
24.000000 4.000000
19.000000 11.000000
18.000000 49.000000
48.000000 21.000000
22.000000 37.000000
3.000000 16.000000
13.000000 7.000000
49.000000 19.000000
40.000000 33.000000
43.000000 6.000000
2.000000 28.000000
18.000000 3.000000
38.000000 31.000000
10.000000 20.000000
30.000000 8.000000
12.000000 49.000000
18.000000 32.000000
3.000000 23.000000
3.000000 9.000000
41.000000 18.000000
16.000000 40.000000
37.000000 8.000000
26.000000 32.000000
14.000000 28.000000
13.000000 34.000000
33.000000 1.000000
17.000000 45.000000
24.000000 48.000000
3.000000 4.000000
6.000000 15.000000
48.000000 7.000000
42.000000 3.000000
14.000000 23.000000
16.000000 30.000000
40.000000 40.000000
38.000000 4.000000
20.000000 1.000000
40.000000 5.000000
1.000000 26.000000
8.000000 4.000000
33.000000 14.000000
46.000000 33.000000
25.000000 28.000000
31.000000 40.000000
1.000000 47.000000
22.000000 15.000000
1 23 2.236068
1 33 4.472136
2 11 3.000000
2 44 5.000000
3 32 6.082763
3 48 7.071068
4 35 2.236068
36 14 4.403124
5 41 5.000000
5 19 7.211103
6 50 5.000000
6 16 8.062258
7 31 4.123106
7 32 6.082763
8 12 2.236068
8 24 7.615773
9 21 6.403124
9 27 6.403124
10 34 3.162278
10 23 7.000000
11 44 5.830952
12 24 8.062258
13 17 2.828427
13 46 6.000000
14 4 2.862278
14 42 3.162278
15 43 2.236068
15 28 12.000000
16 41 2.828427
16 5 6.082763
17 46 8.246211
18 37 5.000000
18 28 8.944272
19 45 6.708204
19 30 7.615773
20 7 6.000000
20 31 6.403124
21 38 2.828427
21 27 8.000000
22 43 3.605551
22 18 7.615773
23 33 5.000000
25 31 5.099020
25 29 6.708204
26 40 4.123106
26 42 4.242641
27 47 4.123106
28 38 2.828427
28 29 6.082763
29 38 5.000000
30 40 5.830952
30 26 8.062258
34 18 6.403124
35 14 5.099020
36 42 2.828427
36 40 4.123106
37 28 5.000000
39 13 7.000000
39 48 9.000000
40 42 2.236068
16 11 7.219544
44 33 5.000000
45 26 7.211103
47 38 9.219544
49 20 11.180340
49 31 16.124515
50 19 10.630146
24 45 8.65201
8 46 10.3652
27 17 10.324
27 48 8.6519
9 25 5.36651
15 29 11.9853
23 34 5.3241
6 11 6.32441
19 26 4.6565
28 47 9.6541
