50 81
2.000000 13.000000
7.000000 40.000000
19.000000 29.000000
41.000000 10.000000
35.000000 46.000000
20.000000 36.000000
24.000000 28.000000
42.000000 7.000000
44.000000 14.000000
46.000000 35.000000
36.000000 42.000000
19.000000 12.000000
20.000000 2.000000
4.000000 22.000000
49.000000 28.000000
39.000000 1.000000
43.000000 49.000000
42.000000 13.000000
28.000000 33.000000
25.000000 13.000000
31.000000 47.000000
1.000000 6.000000
27.000000 46.000000
13.000000 21.000000
10.000000 10.000000
7.000000 47.000000
2.000000 28.000000
11.000000 23.000000
30.000000 17.000000
47.000000 31.000000
34.000000 39.000000
35.000000 26.000000
4.000000 16.000000
12.000000 31.000000
31.000000 43.000000
49.000000 5.000000
31.000000 15.000000
26.000000 41.000000
25.000000 35.000000
40.000000 29.000000
15.000000 3.000000
2.000000 47.000000
40.000000 15.000000
7.000000 25.000000
43.000000 11.000000
43.000000 5.000000
42.000000 25.000000
1.000000 22.000000
10.000000 2.000000
17.000000 5.000000
1 33 3.605551
1 25 8.544004
2 26 7.000000
2 42 8.602325
3 7 5.099020
3 34 7.280110
4 45 2.236068
4 18 3.162278
5 11 4.123106
5 21 4.123106
6 39 5.099020
6 38 7.810250
7 19 6.403124
8 46 2.236068
8 45 4.123106
9 18 2.236068
9 45 3.162278
10 30 4.123106
10 40 8.485281
11 31 3.605551
11 35 5.099020
12 20 6.082763
12 50 7.280110
13 50 4.242641
13 49 10.000000
14 48 3.000000
14 28 7.071068
15 30 3.605551
15 47 7.615773
16 46 5.656854
16 36 10.770330
17 5 8.544004
17 11 9.899495
18 45 2.236068
19 39 3.605551
19 38 8.246211
20 37 6.324555
21 35 4.000000
21 23 4.123106
22 1 7.071068
22 25 9.848858
23 35 5.000000
24 28 2.828427
24 12 10.211103
25 49 8.000000
25 12 9.602325
26 42 5.000000
26 34 16.763055
27 44 5.830952
27 48 6.082763
28 44 4.472136
29 37 2.236068
29 43 10.198039
30 40 7.280110
31 35 5.000000
32 40 5.830952
32 47 7.071068
33 14 6.000000
34 44 7.810250
36 46 6.000000
36 45 8.485281
37 43 9.000000
38 23 5.099020
38 35 5.385165
39 38 6.082763
40 47 4.472136
40 31 12.055385
41 50 2.828427
41 49 5.099020
2 34 13.867962
43 18 2.828427
43 4 5.200000
44 14 4.242641
47 30 7.810250
49 50 7.615773
13 16 13.6541
4 8 2.36521
20 29 5.3214
43 47 9.6554
11 10 10.3241
31 38 5.6541
