50 76
34.000000 44.000000
43.000000 27.000000
24.000000 10.000000
30.000000 28.000000
10.000000 3.000000
30.000000 40.000000
19.000000 20.000000
5.000000 28.000000
47.000000 1.000000
41.000000 41.000000
6.000000 33.000000
18.000000 9.000000
14.000000 36.000000
21.000000 33.000000
41.000000 5.000000
28.000000 36.000000
34.000000 4.000000
49.000000 17.000000
32.000000 9.000000
20.000000 14.000000
1.000000 41.000000
36.000000 9.000000
19.000000 36.000000
10.000000 10.000000
29.000000 18.000000
45.000000 47.000000
30.000000 2.000000
25.000000 44.000000
38.000000 46.000000
27.000000 31.000000
3.000000 7.000000
20.000000 40.000000
11.000000 19.000000
7.000000 46.000000
12.000000 31.000000
18.000000 1.000000
42.000000 39.000000
37.000000 2.000000
23.000000 46.000000
13.000000 3.000000
48.000000 40.000000
47.000000 38.000000
38.000000 24.000000
19.000000 43.000000
34.000000 41.000000
10.000000 40.000000
19.000000 6.000000
24.000000 39.000000
7.000000 16.000000
28.000000 46.000000
1 45 3.000000
1 50 6.324555
2 43 5.830952
2 42 11.704700
3 20 5.656854
3 47 6.403124
4 30 4.242641
4 43 8.944272
5 40 3.000000
5 31 8.062258
6 45 4.123106
6 48 6.082763
7 20 6.082763
7 33 8.062258
8 11 5.099020
8 35 7.615773
9 15 7.211103
9 38 10.049876
10 37 2.236068
10 42 6.708204
11 35 6.324555
12 47 3.162278
12 40 7.810250
13 23 5.000000
13 35 5.385165
14 23 3.605551
14 30 6.324555
15 38 5.000000
3 19 8.848858
16 6 4.472136
16 48 5.000000
17 38 3.605551
17 22 5.385165
18 2 11.661904
18 43 13.038405
19 22 4.000000
19 27 7.280110
20 12 5.385165
21 34 7.810250
21 46 9.055385
22 38 7.071068
23 32 4.123106
24 49 6.708204
24 31 7.615773
25 3 9.433981
25 19 9.486833
26 29 7.071068
26 41 7.615773
27 17 4.472136
27 38 7.000000
28 39 2.828427
28 50 3.605551
29 1 4.472136
29 10 5.830952
30 16 5.099020
31 49 9.848858
32 44 3.162278
32 48 4.123106
33 49 5.000000
33 24 9.055385
34 46 6.708204
34 44 12.369317
35 23 8.602325
36 47 5.099020
12 24 8.041595
37 42 5.099020
39 44 5.000000
40 36 5.385165
41 42 2.236068
42 26 9.219544
46 13 5.656854
48 28 5.099020
50 39 5.000000
25 43 8.65412
8 33 11.20133
15 22 4.6523
