50 69
21.000000 29.000000
12.000000 44.000000
25.000000 27.000000
47.000000 25.000000
17.000000 46.000000
15.000000 5.000000
20.000000 37.000000
0.000000 6.000000
28.000000 34.000000
2.000000 39.000000
26.000000 47.000000
31.000000 48.000000
5.000000 7.000000
37.000000 14.000000
26.000000 18.000000
10.000000 47.000000
49.000000 24.000000
41.000000 27.000000
2.000000 20.000000
36.000000 18.000000
25.000000 8.000000
5.000000 28.000000
15.000000 33.000000
12.000000 19.000000
24.000000 40.000000
16.000000 8.000000
38.000000 24.000000
15.000000 26.000000
38.000000 43.000000
46.000000 1.000000
40.000000 45.000000
25.000000 33.000000
22.000000 27.000000
47.000000 11.000000
20.000000 2.000000
3.000000 37.000000
8.000000 14.000000
7.000000 24.000000
22.000000 46.000000
35.000000 20.000000
40.000000 25.000000
17.000000 17.000000
11.000000 40.000000
44.000000 36.000000
48.000000 14.000000
21.000000 20.000000
9.000000 5.000000
45.000000 17.000000
43.000000 43.000000
0.000000 44.000000
1 33 2.236068
1 32 5.656854
2 16 3.605551
2 43 4.123106
3 33 3.000000
3 32 6.000000
4 17 2.236068
4 18 6.324555
5 39 5.000000
5 16 7.071068
6 26 3.162278
6 35 5.830952
7 25 5.000000
7 32 6.403124
8 13 5.099020
8 47 9.055385
9 32 3.162278
9 7 8.544004
10 36 2.236068
10 50 5.385165
11 39 4.123106
11 25 7.280110
12 11 5.099020
12 29 8.602325
13 47 4.472136
13 37 7.615773
14 20 4.123106
15 40 8.324555
15 46 5.385165
15 42 9.055385
17 48 8.062258
18 41 2.236068
41 17 9.544004
19 38 6.403124
19 24 10.049876
20 40 2.236068
20 27 6.324555
21 35 7.810250
21 42 12.041595
22 38 4.472136
22 36 9.219544
23 7 6.403124
23 28 7.000000
24 42 5.385165
24 38 7.071068
25 39 6.324555
26 35 7.211103
27 41 2.236068
27 40 5.000000
28 1 6.708204
29 31 2.828427
29 49 5.000000
30 34 10.049876
30 21 16.152946
31 49 3.605551
34 45 3.162278
34 48 6.324555
16 50 9.615773
37 24 6.403124
37 19 8.485281
42 46 5.000000
42 26 9.055385
43 16 7.071068
44 49 7.071068
44 4 11.848858
45 48 4.242641
46 33 7.071068
47 26 7.615773
48 14 8.544004
