50 76
35.000000 26.000000
35.000000 20.000000
48.000000 25.000000
47.000000 16.000000
44.000000 10.000000
6.000000 39.000000
35.000000 47.000000
39.000000 8.000000
19.000000 7.000000
34.000000 28.000000
12.000000 31.000000
45.000000 34.000000
33.000000 40.000000
29.000000 36.000000
34.000000 16.000000
12.000000 19.000000
38.000000 11.000000
46.000000 38.000000
27.000000 41.000000
48.000000 35.000000
32.000000 45.000000
42.000000 49.000000
27.000000 13.000000
8.000000 13.000000
41.000000 20.000000
6.000000 29.000000
15.000000 13.000000
41.000000 33.000000
24.000000 31.000000
7.000000 8.000000
29.000000 17.000000
27.000000 23.000000
19.000000 28.000000
48.000000 13.000000
11.000000 1.000000
40.000000 48.000000
32.000000 33.000000
19.000000 46.000000
21.000000 49.000000
3.000000 8.000000
39.000000 26.000000
35.000000 33.000000
6.000000 32.000000
43.000000 19.000000
33.000000 36.000000
20.000000 34.000000
19.000000 2.000000
17.000000 25.000000
12.000000 34.000000
39.000000 31.000000
1 10 2.236068
1 41 4.000000
2 15 4.123106
2 25 6.000000
3 44 7.810250
3 41 9.055385
4 34 3.162278
4 44 5.000000
5 34 5.000000
5 17 6.082763
6 43 7.000000
6 49 7.810250
7 21 3.605551
7 36 5.099020
8 17 3.162278
8 5 4.433981
9 47 5.000000
9 35 10.000000
10 42 5.099020
11 49 3.000000
11 33 7.615773
12 20 3.162278
12 28 4.123106
13 45 4.000000
13 19 6.082763
14 45 4.000000
14 46 8.708204
15 31 5.099020
16 27 6.708204
16 48 7.810250
17 15 6.403124
18 20 3.605551
18 28 7.071068
19 14 5.385165
19 21 6.403124
21 13 5.099020
22 36 2.236068
22 18 14.770330
23 31 4.472136
23 32 10.000000
24 30 5.099020
24 40 7.071068
25 44 2.236068
25 41 6.324555
26 43 3.000000
26 49 7.810250
27 24 7.000000
28 50 2.828427
28 42 6.000000
29 46 5.000000
29 37 8.246211
30 40 4.000000
30 35 8.062258
31 32 6.324555
32 2 8.544004
33 48 3.605551
33 46 6.082763
35 47 8.062258
36 21 8.544004
37 42 3.000000
37 45 3.162278
38 39 3.605551
38 46 12.041595
39 21 11.704700
40 35 10.630146
41 50 5.000000
42 45 3.605551
43 49 6.324555
44 34 7.810250
50 42 4.472136
11 26 5.69988
11 48 7.65231
29 33 5.65213
16 24 6.32451
9 27 6.32149
9 23 8.63241

