50 75
9.000000 12.000000
46.000000 26.000000
10.000000 36.000000
33.000000 30.000000
23.000000 33.000000
18.000000 30.000000
48.000000 19.000000
43.000000 44.000000
12.000000 47.000000
10.000000 32.000000
7.000000 48.000000
17.000000 18.000000
3.000000 31.000000
38.000000 27.000000
10.000000 4.000000
39.000000 20.000000
17.000000 37.000000
48.000000 27.000000
17.000000 25.000000
29.000000 15.000000
46.000000 22.000000
11.000000 8.000000
19.000000 23.000000
42.000000 26.000000
23.000000 9.000000
42.000000 36.000000
3.000000 3.000000
41.000000 42.000000
25.000000 8.000000
32.000000 25.000000
35.000000 6.000000
9.000000 44.000000
7.000000 27.000000
19.000000 36.000000
44.000000 17.000000
8.000000 8.000000
28.000000 29.000000
31.000000 20.000000
7.000000 5.000000
32.000000 6.000000
31.000000 33.000000
29.000000 6.000000
43.000000 13.000000
32.000000 28.000000
21.000000 43.000000
24.000000 28.000000
14.000000 17.000000
13.000000 24.000000
25.000000 41.000000
3.000000 8.000000
1 36 4.123106
1 47 7.071068
2 18 2.236068
2 21 4.000000
3 10 4.000000
3 17 7.071068
4 44 2.236068
4 37 5.099020
5 34 5.000000
5 46 5.099020
6 19 5.099020
6 34 6.082763
7 21 3.605551
7 35 4.472136
8 28 2.828427
8 28 2.278821
9 32 4.242641
9 45 9.848858
10 13 5.830952
11 32 4.472136
11 9 4.866069
12 47 3.162278
12 48 7.211103
13 33 5.656854
13 48 12.206556
14 24 4.123106
14 44 6.082763
15 39 3.162278
15 36 4.472136
16 35 5.830952
16 21 7.280110
17 34 2.236068
17 6 7.071068
18 21 5.385165
19 23 2.828427
19 48 4.123106
20 38 5.385165
20 42 9.000000
22 36 3.000000
22 15 5.000000
23 48 6.082763
24 2 4.000000
25 29 2.236068
25 22 11.708204
26 28 6.082763
26 14 9.848858
27 39 4.472136
27 50 5.000000
29 42 4.472136
30 44 3.000000
30 38 5.099020
31 40 3.000000
31 43 11.000000
33 48 6.708204
35 43 4.123106
35 21 5.385165
36 39 3.162278
37 44 4.123106
37 46 4.123106
38 16 8.462258
40 42 3.000000
41 4 3.605551
41 37 5.000000
43 16 8.062258
45 49 4.472136
45 17 6.280110
46 6 6.324555
47 48 7.071068
49 17 8.944272
50 36 5.000000
3 32 7.877774
4 26 10.23541
8 26 6.97136
2 26 7.69851
12 25 9.5214
