50 75
13.000000 13.000000
13.000000 45.000000
19.000000 47.000000
22.000000 13.000000
34.000000 5.000000
47.000000 15.000000
12.000000 40.000000
29.000000 46.000000
21.000000 0.000000
41.000000 45.000000
29.000000 12.000000
31.000000 4.000000
20.000000 8.000000
47.000000 25.000000
16.000000 10.000000
38.000000 32.000000
8.000000 9.000000
29.000000 32.000000
37.000000 22.000000
30.000000 1.000000
14.000000 9.000000
49.000000 37.000000
10.000000 41.000000
35.000000 41.000000
5.000000 26.000000
36.000000 36.000000
32.000000 6.000000
46.000000 31.000000
32.000000 12.000000
41.000000 22.000000
44.000000 49.000000
32.000000 25.000000
29.000000 21.000000
22.000000 45.000000
32.000000 22.000000
33.000000 42.000000
15.000000 18.000000
35.000000 20.000000
46.000000 22.000000
8.000000 28.000000
9.000000 14.000000
16.000000 2.000000
37.000000 13.000000
4.000000 21.000000
38.000000 37.000000
2.000000 33.000000
4.000000 34.000000
7.000000 39.000000
44.000000 3.000000
38.000000 2.000000
1 15 3.8123106
1 41 4.123106
2 23 5.000000
2 3 6.485281
3 34 3.605551
3 7 9.899495
4 13 5.385165
4 15 6.708204
5 27 2.236068
5 50 5.000000
6 39 7.071068
6 43 10.198039
7 23 2.236068
7 48 5.099020
8 36 5.656854
8 10 12.041595
9 42 5.385165
9 20 9.055385
10 31 5.000000
10 36 8.544004
11 29 3.000000
11 27 8.062258
12 27 2.236068
12 20 3.162278
13 15 4.472136
13 21 6.082763
14 39 3.162278
14 30 6.708204
15 21 2.236068
16 26 4.472136
16 45 5.000000
17 41 5.099020
17 15 8.062258
18 32 7.615773
18 26 7.295630
19 38 2.828427
19 35 5.000000
20 50 7.385165
21 17 6.000000
22 28 6.708204
22 45 11.000000
23 48 3.605551
24 36 2.236068
24 45 5.000000
25 40 3.605551
25 44 5.099020
26 45 2.236068
26 24 5.099020
28 14 6.082763
29 43 5.099020
30 19 4.000000
30 39 5.000000
31 22 14.041595
32 35 3.000000
32 19 4.730952
33 35 3.162278
33 38 6.082763
34 8 7.071068
36 26 6.708204
37 1 5.385165
37 41 7.211103
38 35 3.605551
40 47 7.211103
42 13 7.211103
43 38 7.280110
44 40 8.062258
46 47 2.236068
46 40 7.810250
47 48 5.830952
49 50 6.082763
49 43 12.206556
41 44 6.32145
4 11 5.32144
4 33 7.98632
7 18 15.6541
