50 78
33.000000 19.000000
6.000000 44.000000
33.000000 24.000000
47.000000 22.000000
39.000000 3.000000
43.000000 30.000000
40.000000 23.000000
11.000000 1.000000
34.000000 15.000000
36.000000 41.000000
1.000000 43.000000
30.000000 30.000000
17.000000 40.000000
47.000000 11.000000
43.000000 37.000000
15.000000 27.000000
6.000000 23.000000
23.000000 42.000000
14.000000 39.000000
25.000000 8.000000
21.000000 18.000000
33.000000 32.000000
49.000000 7.000000
13.000000 0.000000
2.000000 45.000000
35.000000 30.000000
19.000000 47.000000
10.000000 26.000000
22.000000 33.000000
18.000000 21.000000
6.000000 32.000000
12.000000 33.000000
42.000000 33.000000
1.000000 28.000000
0.000000 16.000000
31.000000 13.000000
17.000000 33.000000
8.000000 2.000000
32.000000 38.000000
27.000000 1.000000
37.000000 37.000000
29.000000 9.000000
20.000000 49.000000
31.000000 28.000000
32.000000 45.000000
38.000000 6.000000
13.000000 21.000000
19.000000 32.000000
5.000000 30.000000
34.000000 11.000000
1 9 4.123106
1 36 6.324555
2 25 4.123106
2 19 9.433981
3 44 4.472136
3 26 6.324555
4 7 7.071068
4 14 11.000000
5 46 3.162278
5 40 11.433981
6 33 3.162278
6 26 8.000000
7 3 7.071068
8 24 2.236068
8 38 3.162278
9 36 3.605551
9 50 4.000000
10 41 4.123106
10 45 5.656854
11 25 2.236068
11 31 12.083046
12 44 2.236068
12 26 5.000000
13 19 3.162278
13 37 7.000000
14 23 4.472136
14 46 10.295630
15 33 4.123106
15 41 6.000000
16 28 5.099020
16 32 6.324555
17 28 5.000000
17 34 7.071068
18 13 6.324555
18 27 6.403124
19 32 6.324555
20 42 4.123106
20 21 10.986833
21 30 4.242641
21 47 8.544004
22 26 2.828427
22 12 3.772136
23 46 11.045361
24 40 12.385165
25 32 16.416408
26 44 4.472136
27 43 2.236068
27 19 9.433981
28 47 5.830952
29 48 3.162278
29 13 8.602325
30 47 5.000000
31 49 2.236068
31 32 6.403124
32 37 5.000000
32 48 7.071068
34 49 4.472136
34 28 9.219544
35 17 9.219544
35 34 12.041595
36 50 3.605551
37 48 2.236068
39 10 5.000000
39 41 5.099020
40 20 7.280110
40 42 8.246211
42 36 4.472136
43 18 7.661904
45 39 7.000000
46 50 6.403124
47 17 7.280110
50 42 5.385165
35 38 16.69841
21 36 12.65111
1 3 4.65894
6 7 6.98874
22 39 5.9871
18 45 9.6541
