50 73
26.000000 18.000000
0.000000 3.000000
21.000000 39.000000
40.000000 3.000000
49.000000 10.000000
2.000000 32.000000
41.000000 36.000000
27.000000 3.000000
13.000000 8.000000
18.000000 21.000000
5.000000 6.000000
28.000000 20.000000
30.000000 47.000000
4.000000 37.000000
29.000000 40.000000
48.000000 5.000000
8.000000 0.000000
8.000000 31.000000
40.000000 0.000000
34.000000 41.000000
13.000000 39.000000
25.000000 4.000000
7.000000 40.000000
13.000000 25.000000
12.000000 18.000000
40.000000 14.000000
41.000000 44.000000
3.000000 21.000000
34.000000 1.000000
26.000000 44.000000
27.000000 46.000000
37.000000 14.000000
3.000000 14.000000
4.000000 30.000000
18.000000 13.000000
21.000000 31.000000
39.000000 35.000000
1.000000 25.000000
27.000000 41.000000
41.000000 18.000000
35.000000 44.000000
41.000000 21.000000
47.000000 20.000000
17.000000 3.000000
7.000000 45.000000
49.000000 44.000000
9.000000 38.000000
47.000000 12.000000
4.000000 1.000000
42.000000 23.000000
1 12 2.828427
1 35 9.433981
2 49 4.472136
2 11 6.544004
3 39 6.324555
3 36 8.000000
4 19 3.000000
4 29 6.324555
5 48 2.828427
4 26 11.848858
6 34 2.828427
6 18 6.082763
7 37 2.236068
7 41 10.000000
8 22 2.236068
8 29 7.280110
9 44 6.403124
9 17 9.433981
10 24 6.403124
10 25 6.708204
11 49 5.099020
11 17 6.708204
12 10 10.049876
13 31 3.162278
13 41 5.830952
14 23 4.242641
14 47 5.099020
15 39 2.236068
15 20 6.324555
16 5 5.099020
16 48 7.071068
17 49 4.123106
18 34 4.123106
18 47 7.071068
19 29 6.082763
20 41 3.162278
20 39 7.000000
21 47 4.123106
21 45 8.485281
22 44 8.062258
23 47 2.828427
23 45 5.000000
24 25 7.071068
26 32 3.000000
26 40 4.123106
27 41 6.000000
27 46 8.000000
28 38 4.472136
28 34 9.055385
30 31 2.236068
30 39 3.162278
31 39 5.000000
32 40 5.656854
33 28 7.000000
33 25 9.848858
35 9 7.071068
35 25 7.810250
36 24 10.000000
37 20 7.810250
38 34 5.830952
40 42 3.000000
7 50 12.099020
42 50 2.236068
42 43 6.082763
43 50 5.830952
43 48 8.000000
45 47 7.280110
46 7 11.453624
11 33 7.87779
22 35 8.65410
4 16 6.32410
18 24 6.98744
3 21 7.65741
