50 75
15.000000 15.000000
6.000000 6.000000
2.000000 8.000000
33.000000 31.000000
49.000000 26.000000
0.000000 37.000000
20.000000 43.000000
8.000000 19.000000
13.000000 26.000000
23.000000 20.000000
21.000000 24.000000
17.000000 32.000000
13.000000 14.000000
44.000000 19.000000
17.000000 38.000000
42.000000 34.000000
6.000000 49.000000
42.000000 8.000000
9.000000 25.000000
3.000000 42.000000
45.000000 23.000000
35.000000 6.000000
45.000000 49.000000
34.000000 18.000000
21.000000 7.000000
42.000000 40.000000
39.000000 7.000000
4.000000 35.000000
27.000000 24.000000
8.000000 29.000000
22.000000 1.000000
40.000000 31.000000
28.000000 30.000000
22.000000 37.000000
7.000000 9.000000
43.000000 2.000000
10.000000 27.000000
22.000000 32.000000
26.000000 29.000000
10.000000 3.000000
27.000000 13.000000
15.000000 49.000000
14.000000 5.000000
31.000000 45.000000
35.000000 23.000000
27.000000 9.000000
10.000000 36.000000
19.000000 6.000000
41.000000 29.000000
35.000000 13.000000
1 13 2.236068
1 10 9.433981
2 35 3.162278
2 40 5.000000
3 2 4.472136
3 35 5.099020
4 33 5.099020
4 32 7.280110
5 21 5.000000
5 49 8.544004
6 28 4.472136
20 47 8.049876
7 15 5.830952
7 34 6.324555
8 19 6.082763
8 10 11.246211
9 37 3.162278
9 30 5.830952
10 11 4.472136
10 29 5.656854
11 29 6.000000
12 38 5.000000
12 34 7.071068
13 8 7.071068
14 21 4.123106
14 45 9.848858
15 34 5.099020
15 12 6.000000
16 32 3.605551
16 49 5.099020
17 20 7.615773
17 42 9.000000
18 27 3.162278
18 36 6.082763
19 37 2.236068
19 30 4.123106
20 6 5.830952
20 28 7.071068
21 49 7.211103
22 27 4.123106
22 50 7.000000
23 26 9.486833
23 44 14.560220
24 45 5.099020
24 50 5.099020
25 48 2.236068
25 46 6.324555
26 16 6.000000
26 32 9.219544
28 47 6.082763
29 39 5.099020
30 37 2.828427
30 28 7.211103
31 48 5.830952
31 43 8.944272
32 49 2.236068
33 39 2.236068
33 29 6.082763
34 38 5.000000
36 27 6.403124
39 38 5.000000
40 43 4.472136
40 35 6.708204
41 46 4.000000
41 50 8.000000
42 7 7.810250
43 48 5.099020
44 7 11.180340
44 34 12.041595
45 29 8.062258
46 22 7.544004
47 30 7.280110
50 27 7.211103
15 47 9.54110
13 35 8.65414
