50 77
13.000000 22.000000
32.000000 38.000000
47.000000 9.000000
17.000000 8.000000
44.000000 41.000000
35.000000 9.000000
41.000000 2.000000
17.000000 24.000000
47.000000 4.000000
49.000000 26.000000
14.000000 11.000000
12.000000 35.000000
17.000000 3.000000
16.000000 5.000000
19.000000 30.000000
27.000000 1.000000
20.000000 24.000000
10.000000 39.000000
32.000000 25.000000
11.000000 28.000000
16.000000 48.000000
38.000000 9.000000
0.000000 7.000000
33.000000 47.000000
11.000000 32.000000
23.000000 27.000000
44.000000 36.000000
12.000000 13.000000
41.000000 31.000000
18.000000 10.000000
11.000000 47.000000
14.000000 33.000000
22.000000 6.000000
1.000000 35.000000
35.000000 18.000000
29.000000 34.000000
32.000000 15.000000
31.000000 45.000000
49.000000 7.000000
23.000000 45.000000
9.000000 36.000000
49.000000 29.000000
27.000000 13.000000
14.000000 1.000000
39.000000 36.000000
7.000000 41.000000
21.000000 44.000000
11.000000 7.000000
21.000000 40.000000
5.000000 24.000000
1 8 4.472136
1 20 6.324555
2 36 5.000000
2 38 7.071068
3 39 2.828427
3 22 9.000000
4 30 2.236068
4 14 3.800000
5 27 5.000000
5 45 7.071068
6 22 3.000000
6 37 6.708204
7 9 6.324555
7 22 7.615773
8 17 3.000000
8 15 6.324555
9 39 3.605551
10 42 3.000000
2 45 8.142136
11 28 2.828427
11 30 4.123106
12 32 2.828427
12 41 3.162278
13 14 2.236068
13 44 3.605551
14 44 4.472136
15 26 5.000000
15 32 5.830952
16 33 7.071068
16 14 11.704700
17 26 4.242641
18 41 3.162278
18 46 3.605551
19 35 7.615773
19 36 9.486833
20 25 4.000000
20 32 5.830952
21 31 5.099020
21 47 6.403124
23 48 11.000000
23 44 15.231546
24 38 2.828427
24 40 10.198039
25 12 3.162278
25 32 3.162278
26 19 9.219544
27 45 5.000000
28 48 6.082763
29 45 5.385165
29 42 8.246211
31 46 7.211103
33 4 5.385165
33 30 5.656854
34 41 8.062258
34 46 8.485281
35 37 4.242641
35 43 9.433981
36 26 9.219544
37 43 5.385165
38 40 8.000000
40 47 2.236068
40 49 5.385165
46 41 5.385165
47 49 4.000000
48 11 5.000000
48 14 5.385165
49 32 9.899495
50 20 7.211103
50 25 10.000000
30 43 6.98743
1 28 9.65713
10 19 12.65674
5 24 9.98143
12 18 3.98741
25 41 3.91147
18 31 5.97877
1 50 6.97777
