50 76
49.000000 5.000000
31.000000 24.000000
2.000000 26.000000
11.000000 11.000000
15.000000 30.000000
43.000000 16.000000
11.000000 20.000000
29.000000 26.000000
21.000000 20.000000
11.000000 38.000000
25.000000 22.000000
45.000000 46.000000
15.000000 36.000000
2.000000 22.000000
10.000000 3.000000
29.000000 44.000000
27.000000 32.000000
22.000000 40.000000
43.000000 37.000000
20.000000 36.000000
5.000000 32.000000
8.000000 36.000000
10.000000 31.000000
7.000000 24.000000
12.000000 18.000000
43.000000 7.000000
37.000000 8.000000
45.000000 39.000000
30.000000 6.000000
44.000000 10.000000
44.000000 24.000000
14.000000 34.000000
26.000000 19.000000
6.000000 28.000000
18.000000 15.000000
35.000000 19.000000
21.000000 28.000000
29.000000 10.000000
38.000000 24.000000
0.000000 21.000000
32.000000 46.000000
33.000000 34.000000
16.000000 25.000000
20.000000 44.000000
44.000000 41.000000
31.000000 2.000000
21.000000 1.000000
19.000000 26.000000
35.000000 5.000000
46.000000 8.000000
1 50 4.242641
1 26 5.071068
2 8 2.828427
2 11 6.324555
3 14 4.000000
3 34 4.472136
4 25 7.071068
4 35 8.062258
5 32 4.123106
5 43 5.099020
6 30 6.082763
6 31 8.062258
7 25 2.236068
7 43 7.071068
8 11 5.656854
9 11 4.472136
9 33 5.099020
10 22 3.605551
10 32 5.000000
11 33 3.162278
11 37 7.211103
12 45 5.099020
12 41 13.000000
13 32 2.236068
13 20 5.000000
14 40 2.236068
14 24 5.385165
15 4 8.062258
15 47 11.180340
16 41 3.605551
16 44 9.000000
17 8 6.324555
17 42 6.324555
18 20 4.472136
18 44 4.472136
19 28 2.828427
19 45 4.123106
20 32 6.324555
21 34 4.123106
21 23 5.099020
22 21 5.000000
23 32 5.000000
23 34 5.000000
24 34 4.123106
25 35 6.708204
26 30 3.162278
26 50 3.162278
27 49 3.605551
27 38 7.280110
28 45 2.236068
39 42 11.000000
29 38 4.123106
29 46 4.123106
30 50 2.828427
30 27 7.280110
31 39 6.000000
31 36 10.295630
33 2 6.615773
35 9 5.830952
36 39 5.830952
36 6 8.544004
37 48 2.828427
38 49 7.810250
39 8 9.219544
40 3 8.615773
41 44 9.661904
42 19 10.440307
43 48 3.162278
43 37 5.830952
44 20 8.000000
45 41 13.000000
46 49 5.000000
47 46 10.049876
47 38 12.041595
50 6 8.544004
7 24 4.9997
