50 74
33.000000 25.000000
18.000000 24.000000
1.000000 20.000000
45.000000 34.000000
17.000000 30.000000
20.000000 39.000000
7.000000 29.000000
25.000000 23.000000
4.000000 45.000000
20.000000 1.000000
38.000000 3.000000
5.000000 10.000000
4.000000 25.000000
38.000000 41.000000
30.000000 36.000000
49.000000 15.000000
13.000000 17.000000
41.000000 15.000000
38.000000 36.000000
1.000000 5.000000
16.000000 21.000000
44.000000 25.000000
3.000000 19.000000
1.000000 9.000000
10.000000 7.000000
24.000000 18.000000
45.000000 7.000000
21.000000 27.000000
46.000000 20.000000
42.000000 9.000000
37.000000 34.000000
26.000000 27.000000
34.000000 41.000000
49.000000 28.000000
16.000000 2.000000
11.000000 18.000000
40.000000 24.000000
27.000000 16.000000
44.000000 46.000000
46.000000 39.000000
16.000000 49.000000
11.000000 31.000000
8.000000 19.000000
15.000000 43.000000
12.000000 14.000000
23.000000 28.000000
48.000000 31.000000
5.000000 22.000000
7.000000 49.000000
18.000000 5.000000
1 37 7.071068
1 31 9.848858
2 21 3.605551
2 28 4.242641
3 23 2.236068
3 48 4.472136
4 47 4.242641
4 31 8.000000
5 28 5.000000
5 42 6.082763
6 44 6.403124
6 15 10.440307
7 42 4.472136
7 13 4.280110
8 32 4.123106
8 26 6.385165
9 49 5.000000
9 42 15.652476
10 35 4.123106
10 50 4.472136
11 30 7.211103
11 38 17.029386
12 24 4.123106
12 25 5.830952
13 48 3.162278
13 3 6.082763
14 33 4.000000
14 31 7.071068
15 33 6.403124
15 32 9.848858
16 29 5.830952
16 27 8.944272
17 36 2.236068
17 45 3.162278
18 30 6.082763
18 38 10.944272
19 31 2.236068
19 40 7.403124
20 24 4.000000
20 25 9.219544
21 17 5.000000
22 37 4.123106
22 34 5.830952
23 48 3.605551
24 25 9.219544
25 45 7.280110
26 38 3.605551
26 21 8.544004
27 30 3.605551
28 46 2.236068
29 22 5.385165
29 18 7.071068
30 16 9.219544
31 15 7.280110
32 46 3.162278
32 28 5.000000
34 47 3.162278
34 29 8.544004
35 50 3.605551
35 25 7.810250
36 43 3.162278
37 29 7.211103
38 32 11.045361
39 40 7.280110
39 33 11.180340
40 4 5.099020
41 44 6.082763
41 49 9.000000
42 13 9.219544
43 48 4.242641
44 49 10.000000
45 36 4.123106
47 22 7.211103
50 25 8.246211
