50 78
38.000000 23.000000
27.000000 6.000000
25.000000 18.000000
17.000000 36.000000
49.000000 13.000000
23.000000 10.000000
34.000000 40.000000
3.000000 46.000000
6.000000 28.000000
27.000000 24.000000
3.000000 27.000000
6.000000 0.000000
19.000000 13.000000
22.000000 26.000000
15.000000 42.000000
34.000000 5.000000
16.000000 11.000000
12.000000 43.000000
31.000000 31.000000
46.000000 4.000000
41.000000 31.000000
47.000000 46.000000
29.000000 3.000000
26.000000 8.000000
35.000000 38.000000
30.000000 7.000000
3.000000 5.000000
33.000000 18.000000
47.000000 19.000000
24.000000 15.000000
32.000000 38.000000
8.000000 14.000000
19.000000 39.000000
47.000000 15.000000
44.000000 40.000000
48.000000 41.000000
36.000000 30.000000
46.000000 12.000000
38.000000 26.000000
44.000000 26.000000
16.000000 27.000000
38.000000 31.000000
38.000000 14.000000
49.000000 22.000000
2.000000 7.000000
47.000000 33.000000
41.000000 43.000000
23.000000 41.000000
36.000000 11.000000
21.000000 32.000000
1 39 3.000000
1 40 6.708204
2 24 2.236068
2 26 3.162278
3 30 3.162278
3 13 7.810250
4 33 3.605551
4 50 5.656854
5 34 2.828427
5 38 3.162278
6 24 3.605551
6 30 5.099020
7 25 2.236068
7 31 2.828427
8 18 9.486833
8 9 20.464249
9 11 3.162278
9 41 10.049876
10 14 5.385165
10 19 8.062258
11 41 13.000000
12 27 5.830952
12 32 10.062258
13 17 3.605551
13 30 5.385165
14 41 6.082763
15 18 3.162278
15 33 5.000000
16 26 4.472136
16 49 6.324555
17 32 8.544004
18 4 9.062258
19 37 5.099020
19 42 7.000000
20 38 8.000000
20 49 12.045361
21 42 3.000000
21 39 5.830952
22 36 5.099020
22 47 6.708204
23 2 3.605551
23 26 4.123106
25 31 3.000000
27 45 2.236068
27 32 10.295630
28 43 6.403124
28 49 7.615773
29 44 3.605551
29 34 4.071068
32 45 9.219544
33 48 4.472136
34 38 3.162278
35 36 4.123106
35 47 4.242641
36 47 7.280110
37 42 2.236068
37 21 5.099020
39 37 4.472136
40 21 5.830952
40 39 6.000000
41 50 7.071068
42 25 6.500000
43 49 3.605551
43 38 8.246211
44 40 6.403124
46 21 6.324555
46 35 7.615773
48 15 8.062258
49 26 7.211103
50 14 6.082763
3 10 4.99411
11 32 13.4123
31 48 9.97144
1 28 5.98749
1 10 7.12347
1 29 7.91430
7 47 5.04211
12 17 10.1414
