50 72
26.000000 10.000000
11.000000 22.000000
38.000000 27.000000
1.000000 21.000000
49.000000 35.000000
41.000000 38.000000
19.000000 29.000000
4.000000 18.000000
4.000000 9.000000
27.000000 40.000000
34.000000 26.000000
26.000000 25.000000
19.000000 1.000000
17.000000 5.000000
15.000000 40.000000
38.000000 41.000000
2.000000 1.000000
30.000000 17.000000
11.000000 30.000000
4.000000 3.000000
20.000000 25.000000
45.000000 38.000000
33.000000 23.000000
49.000000 7.000000
45.000000 19.000000
10.000000 14.000000
5.000000 16.000000
18.000000 7.000000
17.000000 34.000000
0.000000 48.000000
3.000000 11.000000
30.000000 7.000000
16.000000 0.000000
33.000000 3.000000
26.000000 28.000000
43.000000 12.000000
3.000000 24.000000
32.000000 5.000000
26.000000 46.000000
44.000000 2.000000
19.000000 40.000000
8.000000 38.000000
22.000000 18.000000
36.000000 40.000000
20.000000 21.000000
43.000000 47.000000
2.000000 39.000000
9.000000 7.000000
15.000000 43.000000
12.000000 49.000000
1 32 5.000000
1 28 12.810250
2 19 8.000000
2 26 8.062258
3 11 4.123106
3 23 6.403124
4 37 3.605551
4 27 6.403124
5 22 5.000000
5 3 14.529964
6 22 4.000000
6 44 5.385165
7 21 4.123106
7 29 5.385165
8 27 2.236068
8 37 6.082763
9 31 2.236068
9 48 5.385165
10 39 6.082763
10 41 8.000000
11 23 3.162278
11 12 8.062258
12 35 3.000000
12 45 7.211103
13 33 3.162278
13 28 6.082763
14 28 2.236068
14 33 5.099020
15 49 3.000000
15 42 7.280110
16 44 2.236068
16 22 7.615773
17 20 2.828427
17 9 11.219544
18 23 6.708204
18 43 8.062258
19 29 7.211103
19 7 8.062258
20 48 6.403124
21 45 4.000000
21 12 6.000000
24 40 7.071068
24 36 6.792423
25 36 7.280110
25 23 12.649111
26 27 5.385165
26 48 7.071068
28 48 9.280110
29 15 6.324555
30 47 9.219544
30 50 12.041595
31 27 5.385165
32 38 2.828427
13 34 12.000000
34 38 2.236068
34 40 11.045361
35 21 6.708204
36 40 10.049876
38 18 12.165525
39 41 9.219544
41 15 4.000000
41 49 5.000000
42 47 6.082763
42 19 8.544004
43 45 3.605551
44 10 9.000000
45 2 10.219544
46 16 7.810250
46 22 9.219544
47 49 13.601471
50 49 6.708204
50 39 12.401754
