50 71
20.000000 38.000000
47.000000 16.000000
41.000000 18.000000
17.000000 12.000000
10.000000 28.000000
0.000000 36.000000
36.000000 41.000000
15.000000 10.000000
11.000000 4.000000
1.000000 32.000000
27.000000 46.000000
31.000000 31.000000
39.000000 1.000000
35.000000 1.000000
2.000000 7.000000
24.000000 33.000000
19.000000 41.000000
45.000000 32.000000
21.000000 47.000000
18.000000 8.000000
40.000000 36.000000
20.000000 2.000000
42.000000 23.000000
36.000000 19.000000
22.000000 17.000000
3.000000 9.000000
9.000000 42.000000
10.000000 46.000000
43.000000 14.000000
3.000000 35.000000
15.000000 29.000000
18.000000 37.000000
23.000000 13.000000
19.000000 44.000000
13.000000 39.000000
4.000000 3.000000
25.000000 25.000000
7.000000 19.000000
0.000000 43.000000
32.000000 21.000000
36.000000 44.000000
17.000000 31.000000
11.000000 23.000000
17.000000 28.000000
28.000000 26.000000
3.000000 27.000000
25.000000 4.000000
28.000000 33.000000
12.000000 10.000000
6.000000 48.000000
1 32 2.236068
1 16 8.082763
2 29 4.472136
2 23 8.602325
3 29 4.472136
3 24 5.099020
4 8 2.828427
4 20 4.123106
5 31 5.099020
5 43 5.099020
6 30 3.162278
6 39 7.000000
7 41 3.000000
7 12 11.180340
8 49 3.000000
9 49 6.082763
47 20 8.062258
10 30 3.605551
10 46 5.385165
11 19 6.082763
11 1 11.246211
12 48 3.605551
12 37 8.485281
13 14 4.000000
13 29 13.601471
14 47 10.440307
15 26 2.236068
15 36 4.472136
16 48 4.000000
16 32 7.211103
17 34 3.000000
17 32 4.123106
18 21 6.403124
18 23 9.486833
19 34 3.605551
19 17 6.324555
20 8 3.605551
20 22 6.324555
21 7 6.403124
22 47 5.385165
22 49 11.313708
23 3 5.099020
23 24 7.211103
24 40 4.472136
25 33 4.123106
25 37 8.544004
26 36 6.082763
27 28 4.123106
27 35 5.000000
28 50 4.472136
31 44 2.236068
31 43 7.211103
33 20 7.071068
35 32 5.385165
37 45 3.162278
37 40 8.062258
38 43 5.656854
38 46 8.944272
39 50 7.810250
40 45 6.403124
41 21 8.944272
42 31 2.828427
42 44 3.000000
46 30 8.000000
47 33 9.219544
9 36 6.91233
26 49 8.01313
38 49 11.1112
37 44 10.1314
32 42 6.91324
11 41 8.93177
