50 83
7.000000 26.000000
31.000000 18.000000
1.000000 48.000000
48.000000 3.000000
36.000000 14.000000
33.000000 39.000000
2.000000 5.000000
5.000000 30.000000
33.000000 26.000000
36.000000 39.000000
5.000000 11.000000
45.000000 28.000000
29.000000 23.000000
13.000000 41.000000
36.000000 19.000000
41.000000 43.000000
45.000000 22.000000
13.000000 46.000000
21.000000 11.000000
2.000000 9.000000
27.000000 37.000000
48.000000 32.000000
44.000000 3.000000
14.000000 27.000000
29.000000 0.000000
18.000000 35.000000
13.000000 13.000000
15.000000 44.000000
39.000000 28.000000
35.000000 25.000000
47.000000 26.000000
20.000000 45.000000
1.000000 35.000000
43.000000 24.000000
46.000000 47.000000
34.000000 31.000000
10.000000 30.000000
8.000000 17.000000
25.000000 28.000000
4.000000 40.000000
42.000000 19.000000
6.000000 47.000000
1.000000 28.000000
26.000000 11.000000
37.000000 11.000000
39.000000 23.000000
44.000000 49.000000
4.000000 32.000000
24.000000 14.000000
49.000000 1.000000
1 8 4.472136
1 37 5.000000
2 15 5.099020
2 30 8.062258
3 42 5.099020
3 33 13.000000
4 50 2.236068
4 45 13.601471
5 45 3.162278
5 41 7.810250
6 10 3.000000
6 21 6.324555
7 20 4.000000
7 11 6.416408
8 48 2.236068
8 43 4.472136
9 30 2.236068
9 36 5.099020
10 16 6.403124
11 20 3.605551
11 38 6.708204
12 31 2.828427
12 34 4.472136
13 9 5.000000
13 30 6.324555
14 28 3.605551
14 26 7.810250
15 5 5.000000
15 46 5.000000
16 35 6.403124
17 34 2.828427
17 41 4.242641
18 28 2.828427
18 32 7.071068
19 49 4.242641
19 25 13.601471
20 38 10.000000
21 36 9.219544
22 12 5.000000
22 31 6.082763
23 4 4.000000
23 50 5.385165
24 37 5.000000
24 26 8.944272
25 44 11.401754
25 45 13.601471
27 38 6.403124
27 19 8.246211
28 32 5.099020
29 30 5.000000
29 46 5.000000
30 46 4.472136
31 17 4.472136
32 26 10.198039
33 48 4.242641
33 43 7.000000
34 46 4.123106
35 47 2.828427
35 22 15.132746
36 29 5.830952
37 8 5.000000
39 13 6.403124
39 21 9.219544
40 33 5.830952
40 42 7.280110
41 46 5.000000
42 18 7.071068
43 48 5.000000
44 49 3.605551
44 5 10.440307
45 41 10.062258
47 16 7.464249
49 13 10.295630
11 27 7.13413
23 45 9.13974
2 49 5.13434
2 5 4.97136
2 44 6.04122
2 13 5.04113
24 39 9.13411
21 26 7.88811
21 32 9.93112
12 29 3.98177
