50 77
42.000000 6.000000
41.000000 36.000000
27.000000 28.000000
17.000000 27.000000
1.000000 25.000000
24.000000 4.000000
3.000000 20.000000
6.000000 18.000000
9.000000 34.000000
30.000000 48.000000
47.000000 19.000000
24.000000 41.000000
19.000000 30.000000
23.000000 45.000000
44.000000 24.000000
46.000000 38.000000
30.000000 39.000000
25.000000 10.000000
18.000000 44.000000
37.000000 21.000000
22.000000 13.000000
25.000000 25.000000
33.000000 33.000000
46.000000 42.000000
43.000000 16.000000
47.000000 32.000000
13.000000 43.000000
8.000000 9.000000
33.000000 41.000000
49.000000 10.000000
1.000000 19.000000
7.000000 38.000000
40.000000 29.000000
1.000000 15.000000
6.000000 36.000000
0.000000 2.000000
30.000000 19.000000
30.000000 23.000000
35.000000 28.000000
42.000000 44.000000
28.000000 10.000000
36.000000 36.000000
21.000000 20.000000
32.000000 30.000000
41.000000 39.000000
20.000000 23.000000
48.000000 27.000000
9.000000 48.000000
17.000000 10.000000
15.000000 2.000000
1 30 8.062258
1 41 14.560220
2 45 3.000000
2 33 7.071068
3 22 3.605551
3 44 5.385165
4 13 3.605551
4 46 5.000000
5 7 5.385165
5 31 6.000000
6 18 6.082763
6 41 7.211103
7 31 2.236068
7 34 5.385165
8 7 3.605551
8 28 8.099020
9 35 3.605551
9 13 10.770330
10 14 7.615773
10 29 7.615773
11 25 5.000000
11 47 8.062258
12 14 4.123106
12 17 6.324555
13 46 7.071068
14 19 5.099020
15 47 5.000000
15 33 6.403124
16 24 4.000000
16 45 5.099020
17 29 3.605551
17 23 6.708204
18 41 3.000000
18 49 8.000000
19 27 5.099020
20 37 7.280110
20 38 7.280110
21 18 4.242641
21 49 5.830952
22 38 5.385165
23 44 3.162278
23 29 8.000000
24 40 4.472136
25 20 7.810250
26 47 5.099020
26 33 7.615773
27 48 6.403124
28 49 9.055385
28 34 9.219544
29 42 5.830952
30 25 8.485281
31 34 4.000000
32 35 2.236068
32 27 7.810250
33 39 5.099020
34 8 5.830952
9 27 10.099495
36 28 10.630146
36 34 13.038405
37 38 4.000000
37 22 7.810250
38 39 7.071068
39 44 3.605551
40 45 5.099020
41 21 6.708204
42 23 4.242641
43 46 3.162278
43 37 9.055385
46 22 5.385165
48 32 10.198039
49 50 8.246211
50 28 9.899495
5 9 12.11448
5 35 13.05711
6 50 6.11222
13 22 5.4777
2 42 3.941372


