50 76
40.000000 8.000000
48.000000 38.000000
49.000000 26.000000
0.000000 36.000000
13.000000 22.000000
8.000000 42.000000
44.000000 42.000000
25.000000 38.000000
34.000000 47.000000
19.000000 4.000000
21.000000 20.000000
31.000000 30.000000
20.000000 13.000000
22.000000 38.000000
42.000000 15.000000
48.000000 41.000000
5.000000 47.000000
17.000000 6.000000
35.000000 32.000000
28.000000 45.000000
27.000000 24.000000
38.000000 2.000000
12.000000 24.000000
49.000000 34.000000
28.000000 22.000000
6.000000 12.000000
5.000000 26.000000
25.000000 27.000000
14.000000 2.000000
17.000000 9.000000
19.000000 15.000000
0.000000 24.000000
15.000000 19.000000
30.000000 0.000000
4.000000 10.000000
48.000000 31.000000
35.000000 38.000000
35.000000 49.000000
12.000000 36.000000
2.000000 14.000000
18.000000 29.000000
43.000000 32.000000
31.000000 11.000000
43.000000 0.000000
27.000000 43.000000
46.000000 21.000000
18.000000 44.000000
2.000000 5.000000
32.000000 39.000000
36.000000 36.000000
1 22 6.324555
1 44 8.544004
2 16 3.000000
2 24 4.123106
3 36 5.099020
3 46 5.830952
4 6 10.000000
4 27 11.180340
5 23 2.236068
5 33 3.605551
6 17 5.830952
6 39 7.211103
7 16 4.123106
7 24 9.433981
8 14 3.000000
8 45 5.385165
9 38 2.236068
9 45 8.062258
10 18 2.828427
10 29 5.385165
11 31 5.385165
11 33 6.082763
12 19 4.472136
12 28 6.708204
13 31 2.236068
13 18 7.615773
14 45 7.071068
15 46 7.211103
15 43 11.704700
17 47 10.038405
18 30 3.000000
19 50 4.123106
7 37 11.000000
20 45 2.236068
20 47 8.911103
21 25 2.236068
21 28 3.605551
22 44 5.385165
22 34 8.246211
23 41 7.830952
24 36 3.162278
24 42 6.324555
25 11 5.930952
26 35 2.828427
26 40 4.472136
27 32 5.385165
27 33 12.206556
29 18 5.000000
29 30 7.615773
30 31 6.324555
31 33 5.656854
32 40 10.198039
34 43 11.045361
35 40 4.472136
36 42 5.099020
37 50 2.236068
37 45 9.433981
38 20 8.062258
39 41 9.219544
41 28 7.280110
42 19 8.000000
43 1 9.486833
44 34 13.000000
45 49 6.403124
47 14 7.211103
47 45 9.055385
48 35 5.385165
48 40 9.000000
49 37 3.162278
49 50 5.000000
10 34 10.95111
29 48 9.133333
1 15 6.891111
7 9 9.17777
14 41 8.44444
15 25 11.4444
